case_id,a_m,t1_over_a,mass_kg,compliance_Nm,constraint,feasible,pareto_case071,evaluation_period,evidence_role
1,0.0144974658813887,0.160574896040572,46.581778243528,49.7861452574694,-1,1,1,initial_training,conditioning_only
2,0.0134898097690815,0.356100123735996,70.2079698143592,48.7267676590895,1,0,0,initial_training,conditioning_only
3,0.0269880858966697,0.301500031087591,63.6333162680837,48.9778461398597,1,0,0,initial_training,conditioning_only
4,0.0286018465546866,0.111476626094625,40.546219415022,50.3176085431796,1,0,0,initial_training,conditioning_only
5,0.0102181934949284,0.052475773188447,34.6931605014791,51.8039463340694,1,0,0,initial_training,conditioning_only
6,0.0180814171495891,0.247750568190532,57.455882782057,49.2465569807416,-1,1,0,initial_training,conditioning_only
7,0.0169055689400724,0.393119166234908,73.9668591971061,48.6993820582551,-1,1,0,initial_training,conditioning_only
8,0.0217227511143426,0.216212064970839,53.4867854819244,49.1508352744547,1,0,0,initial_training,conditioning_only
9,0.0237014119888819,0.273438436334868,60.340045673943,48.9095437942963,-1,1,1,initial_training,conditioning_only
10,0.0254849834917525,0.138434890288404,43.760491487729,49.8950464616971,1,0,0,initial_training,conditioning_only
11,0.0202641975283623,0.362170707732439,70.4383870289428,48.5542413549178,-1,1,0,initial_training,conditioning_only
12,0.03,0.05,34.471989119978,52.3477682278324,1,0,0,initial_training,conditioning_only
13,0.0242181121110916,0.05,34.506120204173,52.083927989009,1,0,0,initial_training,conditioning_only
14,0.0187364988945638,0.107670365124941,40.1390184305576,50.3724712641737,1,0,0,initial_training,conditioning_only
15,0.01,0.05,34.4898127526137,51.9216516177353,1,0,0,initial_training,conditioning_only
16,0.01,0.103088089227676,39.6945276358745,50.4680113677691,1,0,0,initial_training,conditioning_only
17,0.01,0.122320007830858,41.8848565172985,50.23086577072,-1,1,1,initial_training,conditioning_only
18,0.03,0.373845410645008,71.5687730003952,49.1315629391995,1,0,0,initial_training,conditioning_only
19,0.0176862999346785,0.05,34.4924174732433,52.0872791136302,1,0,0,initial_training,conditioning_only
20,0.0153798828125,0.0762946178019047,36.8160389208221,50.9651139801692,1,0,0,initial_training,conditioning_only
21,0.0149476053733842,0.05,34.4844791142711,52.0636275495824,1,0,0,initial_training,conditioning_only
22,0.0191643159389496,0.05,34.4719621117604,52.0543508349592,1,0,0,initial_training,conditioning_only
23,0.0171092095375061,0.0720901615917683,36.4300678762039,51.1153539607986,1,0,0,initial_training,conditioning_only
24,0.0105049075484276,0.173756468063525,48.2143862671744,49.7562870607192,-1,1,0,initial_training,conditioning_only
25,0.0158604941368103,0.175814358443022,48.3602504517683,49.6376615562223,-1,1,1,initial_training,conditioning_only
26,0.0148831014633179,0.24540853202343,57.2243366268511,49.1459285923188,-1,1,0,initial_training,conditioning_only
27,0.01941650390625,0.316394243836403,65.5267701227936,48.5184810196455,1,0,0,initial_training,conditioning_only
28,0.0218752925395966,0.381592853069305,72.4799293692166,48.7816675723491,1,0,0,initial_training,conditioning_only
29,0.0111889749765396,0.216917693018913,53.6908975628656,49.4360081254008,1,0,0,initial_training,conditioning_only
30,0.0180991393327713,0.0745075567066669,36.6124619119196,51.0316855971047,1,0,0,initial_training,conditioning_only
31,0.0170422340631485,0.05,34.4644104930036,52.0371330946157,1,0,0,initial_training,conditioning_only
32,0.0202317249178886,0.05,34.4718025815971,52.146856162789,1,0,0,initial_training,conditioning_only
33,0.0182330132722855,0.0572227735817432,35.0638020818596,51.6818069960194,1,0,0,initial_training,conditioning_only
34,0.0174593243002892,0.0785253848135471,37.0435628609915,50.9292684287747,1,0,0,initial_training,conditioning_only
35,0.018695173561573,0.0743291532993317,36.6166922834377,51.0530460903779,1,0,0,initial_training,conditioning_only
36,0.0262831658124924,0.05,34.4906449897612,52.1494410147911,1,0,0,initial_training,conditioning_only
37,0.0220334385037422,0.0674896630644798,35.9653677880707,51.3275210121104,1,0,0,initial_training,conditioning_only
38,0.0205030094385147,0.0847642636299133,37.6484903491317,50.8084921792357,1,0,0,initial_training,conditioning_only
39,0.0236265570521355,0.0792969906330109,37.0695009613094,50.8827293429543,1,0,0,initial_training,conditioning_only
40,0.0258330078125,0.0765439872443676,36.8061354757305,51.0165019092006,1,0,0,initial_training,conditioning_only
41,0.0224954158067703,0.05,34.5116023099781,52.1509614889725,1,0,0,initial_training,conditioning_only
42,0.0278259074091911,0.05,34.5077662075554,52.2572728358825,1,0,0,initial_training,conditioning_only
43,0.01376953125,0.05,34.5085685310374,52.0257989656428,1,0,0,initial_training,conditioning_only
44,0.03,0.0849542671115256,37.6537652220882,50.8800559837066,1,0,0,initial_training,conditioning_only
45,0.0155,0.16375,46.9927019554093,49.7334868225577,-1,1,1,initial_training,conditioning_only
46,0.01475,0.150625,45.2711631364644,49.8587353733633,-1,1,1,initial_training,conditioning_only
47,0.0150146228075027,0.242840216606855,56.7490289415464,49.1450135767575,-1,1,1,initial_training,conditioning_only
48,0.0151519775390625,0.2280078125,54.9172892929755,49.2607230868237,-1,1,1,initial_training,conditioning_only
49,0.01525,0.21625,53.5918610380488,49.3388917912626,-1,1,1,initial_training,conditioning_only
50,0.0180615620613098,0.247726488113403,57.4762396760958,49.2515959020505,-1,1,0,initial_training,conditioning_only
51,0.0172401089072227,0.234869783222675,55.9247083011083,49.3291447057848,1,0,0,initial_training,conditioning_only
52,0.0168006814143651,0.29016119453189,62.7954343479483,48.9948317277969,-1,1,0,revised_continuation,revised_solver_assessment
53,0.0298944146330924,0.216234272752549,53.4297448479172,49.4573626709694,1,0,0,revised_continuation,revised_solver_assessment
54,0.0195227527343856,0.345804453136632,68.6985689959999,48.5175818071967,1,0,0,revised_continuation,revised_solver_assessment
55,0.0229986971560317,0.294936059077526,62.8418300770157,48.7695597846373,-1,1,1,revised_continuation,revised_solver_assessment
56,0.0225953820998209,0.324987181338706,66.2262183247861,48.5905640127118,-1,1,0,revised_continuation,revised_solver_assessment
