point,rowCount,oldFreqAtVMin,newFreqAtVMin,maxRelativeFrequencyChange,oldMaxDamping,newMaxDamping,oldDampingAtVMin,newDampingAtVMin,oldDampingAtVMax,newDampingAtVMax,maxAbsoluteDampingChange,rmsDampingChange,oldCrossingVelocity,newCrossingVelocity,oldPositiveCount,newPositiveCount,newKMin,newKMax
1,37,13.721333,13.697611,0.00172884077662129,-0.029060829,-0.030263081,-0.029060829,-0.030263081,-0.18567927,-0.18628798,0.001202252,0.000384819887646401,NaN,NaN,0,0,0.1542,0.7733
2,37,54.166123,53.871432,0.00544050383668774,-0.0038995522,-0.009174653,-0.0038995522,-0.0095328058,-0.026521458,-0.026673553,0.0056332536,0.00190698848013761,NaN,NaN,0,0,0.6095,3.0412
3,37,102.01409,102.01366,4.60721754945114e-06,2.2834729e-05,-8.5449944e-06,2.2834729e-05,-8.5449944e-06,-1.5941869e-05,-3.292137e-05,3.13797234e-05,2.38869962783173e-05,105.519131251873,NaN,23,0,1.1518,5.7589
4,37,119.15418,118.75286,0.00477571087118199,0.03200744,-0.0078555096,0.03200744,-0.0078555096,-0.0044571582,-0.023902498,0.0398629496,0.0298490330269958,135.423750604404,NaN,32,0,1.3234,6.7039
5,37,129.35838,129.06769,0.00528937094134438,-0.0015085531,-0.0073491875,-0.0015085531,-0.0098852672,-0.0089428382,-0.0098176535,0.0088521536,0.00423432608535923,NaN,NaN,0,0,1.4534,7.2862
6,37,236.21008,236.00564,0.00489355969745963,-0.00090442488,-0.0060137123,-0.00090442488,-0.0060493972,-0.004658354,-0.0063240045,0.0087620336,0.00525772325115502,NaN,NaN,0,0,2.6532,13.3231
7,37,237.68928,237.27578,0.00355155912682468,0.0032658298,-0.0059871502,0.0032658298,-0.0059871502,-0.0056830567,-0.011043066,0.0094102684,0.00747198207498242,73.697337471064,NaN,14,0,2.6657,13.3948
8,37,349.6839,349.68364,4.83294317086947e-06,9.1631878e-06,-4.8936178e-06,9.1631878e-06,-4.8936178e-06,2.3132455e-06,-1.0446914e-05,1.7022934e-05,1.52050531026e-05,NaN,NaN,37,0,3.9481,19.7405
9,37,367.94038,367.74736,0.00514560498414599,-0.0007920012,-0.003897028,-0.0007920012,-0.003897028,-0.0032122272,-0.0052684606,0.0082103405,0.00517973464978122,NaN,NaN,0,0,4.1344,20.7602
10,37,370.36095,370.06737,0.00346854572903683,-0.00012378131,-0.004265528,-0.00012378131,-0.004265528,-0.0044101603,-0.0074512955,0.0053824655,0.00452850821709935,NaN,NaN,0,0,4.1614,20.8912
11,37,510.80285,510.5286,0.00365048997599297,0.00020468171,-0.0029867229,0.00020468171,-0.0029867229,-0.0024880591,-0.0058715516,0.005344196,0.00461991319531938,39.1227301108205,NaN,3,0,5.742,28.8205
12,37,517.96004,517.72162,0.00451681799172128,-0.00080444093,-0.0028265854,-0.00080444093,-0.0028265854,-0.0027965304,-0.0050291937,0.007769857,0.00529970610336757,NaN,NaN,0,0,5.8212,29.2266
13,37,532.89313,532.89275,4.57878284726147e-06,-8.0384664e-07,-3.5722258e-06,-8.0384664e-07,-3.5722258e-06,-3.4022939e-06,-5.5625152e-06,6.2450536e-06,4.79335260313786e-06,NaN,NaN,0,0,6.0166,30.083
14,37,658.02092,657.72588,0.00335692188544388,3.8441685e-05,-0.0021210219,3.8441685e-05,-0.0021210219,-0.0017295964,-0.0052610204,0.00484674801,0.00422597888922739,32.6095231850942,NaN,1,0,7.4011,37.1302
15,37,675.1446,674.85012,0.00459494988433879,-0.00079885042,-0.0022223286,-0.00079885042,-0.0022223286,-0.0026404161,-0.0053946397,0.0060267418,0.00435443291949063,NaN,NaN,0,0,7.5855,38.0969
16,37,717.46201,717.46179,3.10817976470457e-06,3.3545642e-06,-2.0430217e-06,3.3545642e-06,-2.0430217e-06,1.114608e-06,-5.9724039e-06,8.0581486e-06,7.4371517001611e-06,NaN,NaN,37,0,8.1005,40.5024
17,37,815.58602,815.32712,0.00316116264378828,0.00045881801,-0.0015940085,0.00045881801,-0.0015940085,-0.00071302972,-0.0043300359,0.0050795971,0.00420709416665473,77.0203142593801,NaN,15,0,9.1765,46.0271
18,37,830.12205,829.72396,0.00370888572077121,-0.0010622341,-0.0017195271,-0.0010622341,-0.0017195271,-0.0027820102,-0.0059313152,0.0056803095,0.00404348055275202,NaN,NaN,0,0,9.3355,46.8398
19,37,928.65478,927.96582,0.00159124903667669,-0.035521515,-0.00081141655,-0.036761001,-0.00081141655,-0.035521515,-0.0044956336,0.03594958445,0.0330589887547,NaN,NaN,0,0,10.4594,52.3858
20,37,977.40115,977.01541,0.00322725952067504,-0.00046103469,-0.0014099027,-0.00046103469,-0.0014099027,-0.0019803152,-0.0060913243,0.0053286923,0.00402010299766453,NaN,NaN,0,0,10.9974,55.1548
