case_id,a_m,t1_over_a,mass_kg,compliance_Nm,constraint,max_stress_MPa,stress_limit_MPa,stress_ok,max_flutter_damping,flutter_ok,trim_ok,simulation_ok,feasible,pareto_case071,feasibility_result,selection_source,fallback_used,selected_acquisition,primary_acquisition,challenger_acquisition,flutter_screen
52,0.0107334526879464,0.322287320940962,73.2797777997022,44.5998266151957,-1,194.2111,220,1,0.022034404,1,1,1,1,1,pass,primary,0,0.13173126373625,0.13173126373625,0.131355167424712,historical_four_point_contemporaneous
53,0.0140014653160599,0.187974186044101,53.7545269804038,47.2169143343539,-1,211.4001,220,1,0.031395054,1,1,1,1,1,pass,primary,0,0.0587387960087533,0.0587387960087533,0.0578384731650157,historical_four_point_contemporaneous
54,0.0144687654380884,0.138694420507902,46.2696170832032,48.4534818296999,-1,206.3283,220,1,0.036328694,1,1,1,1,1,pass,primary,0,0.0573752932247443,0.0573752932247443,0.054479582410333,historical_four_point_contemporaneous
55,0.0122559520330082,0.291637121865372,68.8572137291215,44.9955535533205,-1,192.8553,220,1,0.023648643,1,1,1,1,1,pass,primary,0,0.0618522400139761,0.0618522400139761,0.0586635852598549,historical_four_point_contemporaneous
56,0.010569004832957,0.360706342204495,78.299893302499,44.1175513858324,-1,195.5837,220,1,0.020303558,1,1,1,1,1,pass,challenger,0,0.0563941993571386,0.0514624997622039,0.0563941993571386,historical_four_point_contemporaneous
57,0.0136951104646708,0.238600522087526,61.2255529686386,46.0807258064085,-1,199.7773,220,1,0.027114699,1,1,1,1,1,pass,challenger,0,0.0399820998574816,0.0384345513268914,0.0399820998574816,historical_four_point_contemporaneous
58,0.0149890435929491,0.12513908962461,44.2738554903085,48.8532441410558,-1,206.8338,220,1,0.037747956,1,1,1,1,1,pass,primary,0,0.0192841299749042,0.0192841299749042,0.0172291174629227,historical_four_point_contemporaneous
59,0.012400679973016,0.275307347663638,66.5660927991033,45.2029244318077,-1,188.6483,220,1,0.024628808,1,1,1,1,1,pass,primary,0,0.0177328912868936,0.0177328912868936,0.0161429022401864,historical_four_point_contemporaneous
60,0.0136842585234569,0.173759420060956,51.5753412629072,47.5268997568877,-1,202.0214,220,1,0.032714481,1,1,1,1,1,pass,primary,0,0.0171920612555446,0.0171920612555446,0.0145672176800663,historical_four_point_contemporaneous
61,0.0102299919665639,0.381900668093093,80.9176498246561,43.7806238640196,-1,198.0552,220,1,0.019409094,1,1,1,1,1,pass,primary,0,0.0163055373310254,0.0163055373310254,0.0159329989709455,historical_four_point_contemporaneous
62,0.0105107003281649,0.337222268075995,75.2379437665967,44.4097319983099,-1,190.4312,220,1,0.021288786,1,1,1,1,1,pass,challenger,0,0.0130672839267801,0.0130424897848236,0.0130672839267801,historical_four_point_contemporaneous
63,0.0129091096975604,0.198034725238643,55.2155242492818,46.9279142616761,-1,210.8153,220,1,0.030489522,1,1,1,1,1,pass,challenger,0,0.0148095272785862,0.012913315357136,0.0148095272785862,historical_four_point_contemporaneous
64,0.0128881154488083,0.229170741922922,59.9132339830928,46.1782942907861,-1,192.3323,220,1,0.027901006,1,1,1,1,1,pass,primary,0,0.0122793620532343,0.0122793620532343,0.0110360328311384,historical_four_point_contemporaneous
65,0.0123890889344575,0.248082826608985,62.6402280514774,45.696531907623,-1,196.2304,220,1,0.026452604,1,1,1,1,1,pass,primary,0,0.0133409124095604,0.0133409124095604,0.0128025835176906,historical_four_point_contemporaneous
66,0.0137867266310104,0.149989949249722,47.9639526763093,48.1674175710636,-1,213.1386,220,1,0.035158601,1,1,1,1,1,pass,primary,0,0.0114727707346137,0.0114727707346137,0.0114523378412385,historical_four_point_contemporaneous
67,0.0109857040388572,0.304724471300638,70.9126498472177,44.8248781893566,-1,196.2474,220,1,0.02293816,1,1,1,1,1,pass,primary,0,0.0107966591604801,0.0107966591604801,0.0104977388756838,historical_four_point_contemporaneous
68,0.0122445218054538,0.262086441018802,64.8170176591656,45.423871145185,-1,194.0821,220,1,0.025549667,1,1,1,1,1,pass,primary,0,0.00783836705392356,0.00783836705392356,0.00714836362216247,historical_four_point_contemporaneous
69,0.0153209860372263,0.107012240517387,41.8081958729977,49.4038395457071,-1,209.3363,220,1,0.039545295,1,1,1,1,1,pass,challenger,0,0.0073242009187357,0.00716686426297584,0.0073242009187357,historical_four_point_contemporaneous
70,0.0154435748900962,0.093826622786741,39.9730748175242,49.8490642701714,-1,215.4348,220,1,0.040789243,1,1,1,1,1,pass,challenger,0,0.00911163168104815,0.00716454555985312,0.00911163168104815,historical_four_point_contemporaneous
71,0.0128584146218527,0.22029711034482,58.6480745404004,46.3711296029843,-1,196.3448,220,1,0.028565131,1,1,1,1,1,pass,challenger,0,0.0064551337821829,0.00628283217952243,0.0064551337821829,historical_four_point_contemporaneous
