case_id,geometry_tolerance_mm,mesh_edge_length_mm,two_wing_compliance_Nm,maximum_vertical_deflection_m,skin_vm_p9975_MPa,cbeam_normal_stress_p9975_MPa,first_modal_frequency_Hz
4,1.5,1.8,32.577904,0.01121478,32.155501875,18.06307365,28.51006
4,1.5,2,32.559936,0.01120955,32.1094026500007,18.074013725,28.51726
4,1.5,2.5,32.406964,0.01115982,32.1798908750001,18.073424125,28.58432
37,1.5,1.8,66.04056,0.0194404,45.0105141250001,114.44769275,31.34731
37,1.5,2,66.0398,0.01944043,45.25009285,114.551893000001,31.34743
37,1.5,2.5,66.03256,0.01943981,47.611062125,114.5239475,31.34838
64,1.5,1.8,95.99124,0.02789131,53.820729875,95.621412,26.62926
64,1.5,2,95.98972,0.02789101,54.051336925,95.3576308750002,26.62941
64,1.5,2.5,95.97484,0.02788928,57.2218792250001,95.7195086250005,26.63062
65,1.5,1.8,313.8272,0.08549688,92.277320225,105.700986000001,15.56877
65,1.5,2,313.81732,0.08549504,92.6462373000001,106.201074000001,15.56896
65,1.5,2.5,313.72876,0.08547783,98.4688199750002,106.3065205,15.57076
99,1.5,1.8,335.77904,0.09144131,93.1297864250001,79.6217725,15.21583
99,1.5,2,335.76612,0.09143877,93.266542425,79.55461125,15.21609
99,1.5,2.5,335.62468,0.0914099,95.94459125,80.4631083500009,15.21877
