beam_element_id,grid_a,grid_b,original_length_m,final_length_m
840967,500542,500138,0.001783933612545928,0.001783933612545928
841351,500810,500469,0.001666421517768454,0.0007906120479640935
841489,500906,500542,0.0017839466498613557,0.0017839466498613557
842007,501321,500044,0.004817284405020344,0.004817284405020344
842029,501343,500044,0.005789098022251167,0.005789098022251167
842045,501357,500065,0.005425574530833301,0.005425574530833301
842046,501358,500066,0.005425572030019055,0.008181750404579158
842085,501393,500103,0.004805468012302026,0.004805468012302026
842107,501413,500103,0.005772804335498037,0.005772804335498037
842122,501427,500137,0.005426149494319025,0.005426149494319025
842123,501428,500138,0.00542614699376977,0.00542614699376977
842149,501450,500181,0.004793795595844719,0.004793795595844719
842192,501488,500181,0.005756399630623203,0.005756399630623203
843860,502718,502716,0.002052053959736238,0.0014180640287145831
843868,502724,502701,0.006781153285263935,0.006781153285263935
843869,502725,502702,0.00678115128437229,0.009124069591354648
843870,502725,502718,0.0020520547837681907,0.0014177450045692506
843876,502729,502725,0.0020970924779600904,0.0014828582145114562
843880,502733,502729,0.0020971770337278105,0.0014822811419830009
843885,502739,502724,0.006782393829835353,0.006782393829835353
843886,502740,502725,0.006782391829309684,0.009159099029548994
843919,502762,501343,0.005789193988391762,0.005789193988391762
843920,502762,501357,0.005425586138568996,0.005425586138568996
843921,502762,501358,0.0054255819720445,0.0054255819720445
843922,502762,501393,0.004805454319224923,0.004805454319224923
843923,502762,502739,0.006782311482800107,0.006782311482800107
843924,502762,502740,0.006782308149742567,0.006782308149742567
843962,502789,502762,0.006769770659395696,0.006769770659395696
843963,502790,502762,0.00676976732016375,0.00676976732016375
843976,502805,502802,0.0021923941238447095,0.0015118690244835214
843986,502815,502789,0.006769770801707395,0.006769770801707395
843987,502816,502790,0.006769768797451513,0.006769768797451513
843988,502816,502805,0.002192311272500172,0.003516446085003203
843998,502825,502816,0.002239808268924817,0.003546598540198575
844005,502831,502825,0.0022397669664913984,0.0015797614452586924
844011,502837,502815,0.006770591830142045,0.006770591830142045
844012,502838,502816,0.0067705898261292054,0.0067705898261292054
844058,502873,501413,0.0057728163414382,0.0057728163414382
844059,502873,501427,0.005426162489801967,0.005426162489801967
844060,502873,501428,0.005426158323720028,0.005426158323720028
844061,502873,501450,0.004793862111023251,0.004793862111023251
844062,502873,502837,0.006770591837104263,0.006770591837104263
844063,502873,502838,0.00677058849827732,0.00677058849827732
844092,502894,502873,0.006758287150394838,0.006758287150394838
844093,502895,502873,0.006758283805488953,0.006758283805488953
844100,502903,502896,0.0023313722694367784,0.001605544833229564
844113,502911,502894,0.006758287148241465,0.006758287148241465
844114,502912,502895,0.0067582851405799576,0.0067582851405799576
844115,502912,502903,0.002331330773447958,0.003742779163032905
844127,502923,502912,0.0023818742905147164,0.003774409616784864
844158,502938,502923,0.0023818741376895798,0.0016783266780474925
844162,502942,502911,0.006758855184176479,0.006758855184176479
844163,502943,502912,0.006758853176683702,0.006758853176683702
846033,504317,502762,0.004818918646325158,0.004818918646325158
846053,504339,502762,0.005425588885707189,0.005425588885707189
846054,504340,502762,0.005425584719184803,0.005425584719184803
846079,504363,502762,0.005773158526664157,0.005773158526664157
846120,504399,502873,0.004806330369751591,0.004806330369751591
846137,504414,502873,0.005426168302318117,0.005426168302318117
846138,504415,502873,0.00542616413624064,0.00542616413624064
846152,504430,502873,0.005757386170252602,0.005757386170252602
847196,505267,504824,0.0017610935002694884,0.0017610935002694884
847229,505305,504846,0.0018772603604404487,0.0018772603604404487
847798,505683,504288,0.005788714245348596,0.005788714245348596
847799,505683,504317,0.0048190217390006425,0.0048190217390006425
847834,505714,504339,0.005425602006785885,0.005425602006785885
847835,505715,504340,0.005425599505984304,0.005425599505984304
847836,505715,505267,0.0017610934027951172,0.0017610934027951172
847891,505752,504363,0.005773157848661849,0.005773157848661849
847892,505752,504399,0.004806330408334617,0.004806330408334617
