configuration,case_id,root,mach,density_ratio,reduced_frequency,inverse_reduced_frequency,velocity_mps,damping_g,frequency_Hz,eigenvalue_real,eigenvalue_imaginary,positive
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.7666,0.56604403,30,-0.025689789,26.381179,-2.1291419,165.75784,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.5811,0.63247916,33.5294,-0.028413035,26.387772,-2.3554301,165.79926,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.4308,0.69889768,37.0588,-0.031271209,26.393739,-2.5929579,165.83675,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.3067,0.76528934,40.5882,-0.034233904,26.399596,-2.8392497,165.87356,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.2024,0.83166376,44.1176,-0.037284109,26.405066,-3.0928646,165.90792,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.1136,0.89802573,47.6471,-0.040407941,26.410149,-3.3526441,165.93986,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,1.0369,0.96437452,51.1765,-0.043594402,26.414842,-3.6176672,165.96935,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.9702,1.0307151,54.7059,-0.046834847,26.419141,-3.887207,165.99636,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.9115,1.0970507,58.2353,-0.050124362,26.423041,-4.1608449,166.02086,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.8848,1.1302176,60,-0.05178681,26.424838,-4.2991378,166.03216,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.8596,1.1633846,61.7647,-0.053460618,26.426533,-4.4383754,166.0428,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.8132,1.2297203,65.2941,-0.05684091,26.42961,-4.7195615,166.06214,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.7716,1.2960612,68.8235,-0.060262399,26.432266,-5.0041543,166.07883,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.734,1.3624244,72.3529,-0.063718567,26.434231,-5.2915457,166.09117,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.6999,1.4287872,75.8824,-0.067214326,26.436056,-5.5822385,166.10264,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.6688,1.4951634,79.4118,-0.07074355,26.437448,-5.8756546,166.11139,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.6404,1.5615579,82.9412,-0.074304218,26.438413,-6.1716134,166.11745,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.6143,1.6279737,86.4706,-0.077894448,26.438953,-6.4699456,166.12084,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.5902,1.6944137,90,-0.081512585,26.439073,-6.7705004,166.1216,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.5679,1.7609004,93.5294,-0.085149669,26.438482,-7.0724413,166.11788,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.5472,1.8273961,97.0588,-0.088819795,26.437805,-7.3770892,166.11363,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.528,1.8939248,100.5882,-0.092514112,26.436714,-7.6836102,166.10677,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.5101,1.9604896,104.1176,-0.096231687,26.43521,-7.9919128,166.09732,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4933,2.0270954,107.6471,-0.099971831,26.433296,-8.3019254,166.08529,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4776,2.0937643,111.1765,-0.10372303,26.430681,-8.6125829,166.06887,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4629,2.1604521,114.7059,-0.10750734,26.427999,-8.9259054,166.05201,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.449,2.2271881,118.2353,-0.11131252,26.424905,-9.2407523,166.03257,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4424,2.2605751,120,-0.11322282,26.423203,-9.3987326,166.02188,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4359,2.2939754,121.7647,-0.11513819,26.421399,-9.5570772,166.01055,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4236,2.3608172,125.2941,-0.11898406,26.417483,-9.8748405,165.98594,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4119,2.4277165,128.8235,-0.1228499,26.413155,-10.194008,165.95875,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.4009,2.4946765,132.3529,-0.12673556,26.408418,-10.514551,165.92898,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.3904,2.5617024,135.8824,-0.13064118,26.403269,-10.836466,165.89663,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.3804,2.6287935,139.4118,-0.1345672,26.397709,-11.159772,165.86169,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.3709,2.6959549,142.9412,-0.13851452,26.391736,-11.484527,165.82417,0
coarse_edge_length_2p5_mm,64,1,0.2941,1,0.3619,2.76319,146.4706,-0.14248381,26.385351,-11.810771,165.78405,0
