evaluation_index,stage,sequential_iteration,h_in,l_in,t_in,b_in,objective_f1_fabrication_cost,objective_f2_end_deflection,feasible,final_pareto,is_evaluation_150,plot_class
1,initial,0,0.58850236208780637,8.221113729410451,6.2044348368246949,3.1095623547531748,21.898949280101117,0.0029557530136663994,1,0,0,feasible_dominated
2,initial,0,3.3907026074700144,7.0071515332941976,0.14860089138919313,0.68441268480818351,89.064964264598487,977.44380907800974,0,0,0,violating
3,initial,0,0.87726528894939004,5.5861708432572179,6.66129226623395,0.97678504206125549,11.21694984519635,0.0076032562383098311,1,0,0,feasible_dominated
4,initial,0,0.16863726258753053,1.2038476781667236,8.3945673246595227,4.8566915054897537,43.963336037942504,0.00076407963799660929,0,0,0,violating
5,initial,0,1.2947575756374716,4.7192699010396808,5.4674236672973073,2.3342101941346516,20.692484361863343,0.0057542131794187292,1,0,0,feasible_dominated
6,initial,0,4.557510434992543,6.3165487582142106,4.6179496879545017,1.66614668215215,151.83015825141521,0.013378680130017301,0,0,0,violating
7,initial,0,4.2821217769108255,7.9838926034018858,2.8968549860938904,4.3914299029986728,172.06770134729749,0.020563066172816079,1,0,0,feasible_dominated
8,initial,0,3.2771540692185175,2.5810475368668215,1.785775228130047,0.18705082286611946,30.875994994584929,2.0607916607250063,0,0,0,violating
9,initial,0,4.2682249759605932,1.6150341893606803,8.6282929338019905,2.6620779316760417,57.508428893854742,0.0012837447644591519,0,0,0,violating
10,initial,0,2.1268413726767155,0.67759615212747359,1.5198820036054732,0.4463185113612268,3.8925181429456561,1.4008756164663059,0,0,0,violating
11,initial,0,2.8946059465402612,5.1261494455890766,0.71663234979499391,1.2764685096768313,48.095723549794798,4.6727738404601808,0,0,0,violating
12,initial,0,2.4668094924358361,3.6592144768528012,3.2021654103952599,3.9263519446541126,35.003653790380142,0.017027605602611524,1,0,0,feasible_dominated
13,initial,0,0.83219562104601208,9.287184635640358,9.909336704632965,4.1640784577950125,54.569535863134988,0.00054177808562163286,1,1,0,feasible_pareto
14,initial,0,1.8981803824339465,9.731425277871784,4.3464246151416726,2.0049111202275505,46.426209260849589,0.013334677436215888,1,0,0,feasible_dominated
15,initial,0,2.6628842933368908,7.346733830526933,3.8651730563417144,2.91471180047595,67.23318375817712,0.013042824313650364,1,0,0,feasible_dominated
