record_type,solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
pareto_point,historical_ctsemo,Historical cTSEMO,1,150,150,3.89927539295895,0.0217507003427642
pareto_point,historical_ctsemo,Historical cTSEMO,2,150,150,5.52667155524589,0.0211549206925216
pareto_point,historical_ctsemo,Historical cTSEMO,3,150,150,5.53373361346666,0.010065294364911
pareto_point,historical_ctsemo,Historical cTSEMO,4,150,150,9.13990763317944,0.00858506172934546
pareto_point,historical_ctsemo,Historical cTSEMO,5,150,150,10.8004709956879,0.00502949698636135
pareto_point,historical_ctsemo,Historical cTSEMO,6,150,150,11.7924645841138,0.00460476843434542
pareto_point,historical_ctsemo,Historical cTSEMO,7,150,150,12.2703286465776,0.00400429661716555
pareto_point,historical_ctsemo,Historical cTSEMO,8,150,150,13.4917837435146,0.00375797719635018
pareto_point,historical_ctsemo,Historical cTSEMO,9,150,150,21.1903202301623,0.00339196164683167
pareto_point,historical_ctsemo,Historical cTSEMO,10,150,150,27.4531646869244,0.00236682751230902
pareto_point,historical_ctsemo,Historical cTSEMO,11,150,150,29.2413320852047,0.00109195116401573
pareto_point,historical_ctsemo,Historical cTSEMO,12,150,150,31.854199324163,0.00105815061946742
pareto_point,historical_ctsemo,Historical cTSEMO,13,150,150,35.3190947894028,0.000983129981651934
pareto_point,historical_ctsemo,Historical cTSEMO,14,150,150,40.6571487426367,0.000978444859687323
pareto_point,historical_ctsemo,Historical cTSEMO,15,150,150,40.7730091277008,0.000916150140504429
pareto_point,historical_ctsemo,Historical cTSEMO,16,150,150,43.7062578290531,0.000737580771438816
pareto_point,historical_ctsemo,Historical cTSEMO,17,150,150,48.0101234765401,0.000645107285590113
pareto_point,historical_ctsemo,Historical cTSEMO,18,150,150,53.5394007908342,0.000535498366790118
pareto_point,historical_ctsemo,Historical cTSEMO,19,150,150,55.1051041016087,0.000487929102920478
pareto_point,historical_ctsemo,Historical cTSEMO,20,150,150,58.2726289721335,0.00043904
pareto_point,usemoc,USeMOC,1,150,150,4.314753,0.015624
pareto_point,usemoc,USeMOC,2,150,150,6.989677,0.007858
pareto_point,usemoc,USeMOC,3,150,150,7.947111,0.006522
pareto_point,usemoc,USeMOC,4,150,150,12.244981,0.002533
pareto_point,usemoc,USeMOC,5,150,150,16.632978,0.002502
pareto_point,usemoc,USeMOC,6,150,150,16.728183,0.001905
pareto_point,usemoc,USeMOC,7,150,150,18.691603,0.001711
pareto_point,usemoc,USeMOC,8,150,150,24.86974,0.001513
pareto_point,usemoc,USeMOC,9,150,150,25.596734,0.00127
pareto_point,usemoc,USeMOC,10,150,150,27.905423,0.001175
pareto_point,usemoc,USeMOC,11,150,150,32.346056,0.001085
pareto_point,usemoc,USeMOC,12,150,150,36.20312,0.001058
pareto_point,usemoc,USeMOC,13,150,150,43.222061,0.000838
