topology,case_id,design_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm,C_binary_feasible,C_signed_recorded,within_topology_observed_pareto,pooled_observed_pareto,evaluation_period,field_output_available,half_wing_skin_mass_kg,half_wing_lattice_mass_kg,flutter_confirmation,harmonized_rerun_pass,harmonized_maximum_damping
FCC,1,FCC01,0.014497465881388694,0.16057489604057182,49.55954685184538,47.90587938127358,1,-1,1,0,inherited_001_051,1,16.17577607795001,8.603997347972681,harmonized_18_point_rerun,1,-4.2730472e-07
FCC,2,FCC02,0.013489809769081462,0.3561001237359964,77.33306253633867,44.68062297556777,1,-1,0,0,inherited_001_051,1,16.17577607795001,22.49075519021933,harmonized_18_point_rerun,1,-1.4386064e-06
FCC,3,FCC03,0.026988085896669713,0.30150003108759144,70.47542079498655,48.58755796635588,0,1,0,0,inherited_001_051,1,16.17577607795001,19.061934319543262,outside_static_admissible_subset,,
FCC,4,FCC04,0.028601846554686623,0.11147662609462537,42.25139082386278,49.46306576654589,0,1,0,0,inherited_001_051,1,16.17577607795001,4.949919333981376,outside_static_admissible_subset,,
FCC,5,FCC05,0.010218193494928402,0.05247577318844703,34.18580365359499,51.592760509542714,0,1,0,0,inherited_001_051,1,15.676604130600003,1.4162976961974905,outside_static_admissible_subset,,
FCC,6,FCC06,0.018081417149589107,0.2477505681905317,62.1927690824764,46.70445452965463,1,-1,0,0,inherited_001_051,1,16.17577607795001,14.920608463288188,harmonized_18_point_rerun,1,-1.8711938e-06
FCC,7,FCC07,0.016905568940072394,0.3931191662349077,81.93333281007874,44.892263728416516,0,1,0,0,inherited_001_051,1,16.17577607795001,24.790890327089357,outside_static_admissible_subset,,
FCC,8,FCC08,0.021722751114342638,0.21621206497083895,57.72349596638727,46.78472143502327,0,1,0,0,inherited_001_051,1,16.17577607795001,12.685971905243623,outside_static_admissible_subset,,
FCC,9,FCC09,0.023701411988881885,0.27343843633486764,66.14823584212607,46.50510769131782,0,1,0,0,inherited_001_051,1,16.17577607795001,16.898341843113023,outside_static_admissible_subset,,
FCC,10,FCC10,0.025484983491752523,0.1384348902884045,46.1448242898532,48.57248883444839,0,1,0,0,inherited_001_051,1,16.17577607795001,6.896636066976587,outside_static_admissible_subset,,
FCC,11,FCC11,0.0145412717461586,0.38007751464843753,80.28381224855025,45.03554901998623,1,-1,0,0,inherited_001_051,1,16.17577607795001,23.966130046325112,harmonized_18_point_rerun,1,-1.348928e-06
FCC,12,FCC12,0.01973107314109802,0.4,82.73560594962315,45.153922061250555,0,1,0,0,inherited_001_051,1,16.17577607795001,25.192026896861563,outside_static_admissible_subset,,
FCC,13,FCC13,0.022223053932189943,0.05,34.96367796394346,52.12206199247802,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3060629040217202,outside_static_admissible_subset,,
FCC,14,FCC14,0.03,0.05,34.939713592991716,52.2867151068532,0,1,0,0,inherited_001_051,1,16.17577607795001,1.2940807185458452,outside_static_admissible_subset,,
