record_type,point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
curve,3,30,5.7588999999999997,102.01409,2.2834728999999999e-05,5.7588999999999997,102.01366,-8.5449944000000004e-06
curve,3,33.529400000000003,5.1527000000000003,102.01407,2.1802912e-05,5.1527000000000003,102.01363000000001,-9.1085981000000006e-06
curve,3,37.058799999999998,4.6619999999999999,102.01405,2.0771627999999999e-05,4.6619999999999999,102.0136,-9.6767892e-06
curve,3,40.588200000000001,4.2565999999999997,102.01402,1.9740297e-05,4.2565999999999997,102.01357,-1.0210743e-05
curve,3,44.117600000000003,3.9161000000000001,102.014,1.8708336e-05,3.9161000000000001,102.01354000000001,-1.0717152e-05
curve,3,47.647100000000002,3.6259999999999999,102.01397,1.7675123999999999e-05,3.6259999999999999,102.01351,-1.1214578000000001e-05
curve,3,51.176499999999997,3.3759000000000001,102.01394000000001,1.6640123999999999e-05,3.3759000000000001,102.01348,-1.1713380000000001e-05
curve,3,54.7059,3.1581000000000001,102.01391,1.5602702000000001e-05,3.1581000000000001,102.01344,-1.2219047e-05
curve,3,58.235300000000002,2.9666999999999999,102.01388,1.4562245000000001e-05,2.9666999999999999,102.01340999999999,-1.2734925000000001e-05
curve,3,60,2.8795000000000002,102.01385999999999,1.4040684000000001e-05,2.8794,102.0134,-1.2997682e-05
curve,3,61.764699999999998,2.7972000000000001,102.01385000000001,1.3518129e-05,2.7972000000000001,102.01338,-1.3264029e-05
curve,3,65.2941,2.6459999999999999,102.01381000000001,1.2469723e-05,2.6459999999999999,102.01335,-1.3808224e-05
curve,3,68.823499999999996,2.5103,102.01376999999999,1.1416379000000001e-05,2.5103,102.01331,-1.4368528e-05
curve,3,72.352900000000005,2.3877999999999999,102.01374,1.035744e-05,2.3877999999999999,102.01327999999999,-1.4945452e-05
curve,3,75.882400000000004,2.2768000000000002,102.0137,9.2922032000000003e-06,2.2768000000000002,102.01324,-1.5539221999999999e-05
curve,3,79.411799999999999,2.1756000000000002,102.01365,8.2200415999999994e-06,2.1756000000000002,102.0132,-1.6149848e-05
curve,3,82.941199999999995,2.0830000000000002,102.01361,7.1402207999999999e-06,2.0830000000000002,102.01317,-1.6777846999999999e-05
curve,3,86.470600000000005,1.998,102.01356,6.0520189000000002e-06,1.998,102.01313,-1.7424503000000001e-05
curve,3,90,1.9196,102.01352,4.9546945000000001e-06,1.9196,102.01308,-1.8090821e-05
curve,3,93.529399999999995,1.8472,102.01347,3.8474856000000003e-06,1.8472,102.01304,-1.8777520999999998e-05
curve,3,97.058800000000005,1.78,102.01342,2.7296078999999999e-06,1.78,102.01300000000001,-1.9485133000000001e-05
curve,3,100.5882,1.7176,102.01336000000001,1.6002534000000001e-06,1.7176,102.01295,-2.0214072e-05
curve,3,104.1176,1.6593,102.01331,4.5858807000000002e-07,1.6593,102.0129,-2.0964585000000001e-05
curve,3,107.64709999999999,1.6049,102.01325,-6.9628206999999998e-07,1.6049,102.01285,-2.1736856000000002e-05
curve,3,111.1765,1.554,102.01318999999999,-1.8651818999999999e-06,1.554,102.0128,-2.2531035000000001e-05
curve,3,114.7059,1.5062,102.01313,-3.0490656999999998e-06,1.5062,102.01275,-2.3347383e-05
curve,3,118.2353,1.4612000000000001,102.01307,-4.2488884000000004e-06,1.4612000000000001,102.01269000000001,-2.4186292000000001e-05
curve,3,120,1.4397,102.01303,-4.8550852e-06,1.4397,102.01266,-2.4614514000000001e-05
curve,3,121.7647,1.4189000000000001,102.01300000000001,-5.4656411000000002e-06,1.4188000000000001,102.01263,-2.5048782000000001e-05
curve,3,125.2941,1.3789,102.01293,-6.7003521999999997e-06,1.3789,102.01257,-2.5936009000000002e-05
curve,3,128.8235,1.3411,102.01286,-7.9540914000000008e-06,1.3411,102.01251000000001,-2.6849039e-05
curve,3,132.35290000000001,1.3052999999999999,102.01279,-9.2279710999999993e-06,1.3052999999999999,102.01244,-2.7788884e-05
curve,3,135.88239999999999,1.2714000000000001,102.01272,-1.0523187000000001e-05,1.2714000000000001,102.01237999999999,-2.8756553e-05
curve,3,139.4118,1.2392000000000001,102.01264,-1.1840873999999999e-05,1.2392000000000001,102.01231,-2.9752958e-05
curve,3,142.94120000000001,1.2085999999999999,102.01255999999999,-1.318233e-05,1.2085999999999999,102.01223,-3.0778885999999999e-05
curve,3,146.47059999999999,1.1795,102.01248,-1.4548869000000001e-05,1.1795,102.01215999999999,-3.1834831e-05
curve,3,150,1.1517999999999999,102.01239,-1.5941868999999999e-05,1.1517999999999999,102.01208,-3.2921369999999997e-05
