a_m,t1_over_a,score_before_observed,score_before_cases_8_29_feasible,score_after_observed,score_after_cases_8_29_feasible
0.01,0.050000000000000003,0,0,0,0
0.01,0.050875000000000004,0,0,0,0
0.01,0.051750000000000004,0,0,0,0
0.01,0.052625000000000005,0,0,0,0
0.01,0.053500000000000006,0,0,0,0
0.01,0.054375000000000007,0,0,0,0
0.01,0.05525,0,0,0,0
0.01,0.056125000000000001,0,0,0,0
0.01,0.057000000000000002,0,0,0,0
0.01,0.057875000000000003,0,0,0,0
0.01,0.058750000000000004,0,0,0,0
0.01,0.059625000000000004,0,0,0,0
0.01,0.060500000000000005,0,0,0,0
0.01,0.061375000000000006,0,0,0,0
0.01,0.062250000000000007,0,0,0,0
0.01,0.063125000000000001,0,0,0,0
0.01,0.064000000000000001,0,0,0,0
0.01,0.064875000000000002,0,0,0,0
0.01,0.065750000000000003,0,0,0,0
0.01,0.066625000000000004,0,0,0,0
0.01,0.067500000000000004,0,0,0,0
0.01,0.068375000000000005,0,0,0,0
0.01,0.069250000000000006,0,0,0,0
0.01,0.070125000000000007,0,0,0,0
0.01,0.071000000000000008,0,0,0,0
0.01,0.071875000000000008,0,0,0,0
0.01,0.072750000000000009,0,0,0,0
0.01,0.07362500000000001,0,0,0,0
0.01,0.074500000000000011,0,0,0,0
0.01,0.075374999999999998,0,0,0,0
0.01,0.076250000000000012,0,0,0,0
0.01,0.077124999999999999,0,0,0,0
0.01,0.078000000000000014,0,0,0,0
0.01,0.078875000000000001,0,0,0,0
0.01,0.079750000000000015,0,0,0,0
0.01,0.080625000000000002,0,0,0,0
0.01,0.081500000000000003,0,0,0,0
0.01,0.082375000000000004,0,0,0,0
0.01,0.083250000000000005,0,0,0,0
0.01,0.084125000000000005,0,0,0,0
0.01,0.085000000000000006,0,0,0,0
0.01,0.085875000000000007,0,0,0,0
0.01,0.086750000000000008,0,0,0,0
0.01,0.087625000000000008,0,0,0,0
0.01,0.088500000000000009,0,0,0,0
0.01,0.08937500000000001,0,0,0,0
0.01,0.090250000000000011,0,0,0,0
0.01,0.091125000000000012,0,0,0,0
0.01,0.091999999999999998,0,0,0,0
0.01,0.092875000000000013,0,0,0,0
0.01,0.09375,0,0,0,0
0.01,0.094625000000000015,0,0,0,0
0.01,0.095500000000000002,0,0,0,0
0.01,0.096375000000000016,0,0,0,0
0.01,0.097250000000000003,0,0,0,0
0.01,0.098125000000000018,0,0,0,0
0.01,0.099000000000000005,0,0,0,0
0.01,0.099875000000000005,0,0,0,0
0.01,0.10075000000000001,0,0,0,0
0.01,0.10162500000000001,0,0,0,0
0.01,0.10250000000000001,0,0,0,0
0.01,0.10337500000000001,0,0,0,0
0.01,0.10425000000000001,0,0,0,0
0.01,0.10512500000000001,0,0,0,0
0.01,0.10600000000000001,0,0,0,0
0.01,0.10687500000000001,0,0,0,0
0.01,0.10775000000000001,0,0,0,0
0.01,0.10862500000000001,0,0,0,0
0.01,0.10950000000000001,0,0,0,0
0.01,0.110375,0,0,0,0
0.01,0.11125,0,0,0,0
0.01,0.112125,0,0,0,0
0.01,0.113,0,0,0,0
0.01,0.113875,0,0,0,0
0.01,0.11475,0,0,0.0069135233954432662,0.0076307860259915428
0.01,0.11562500000000001,0,0,0.015057939906168327,0.015764213369776126
0.01,0.11650000000000001,0,0,0.022995639884449859,0.02369640038138171
0.01,0.11737500000000001,0,0,0.030715084179329777,0.031415579674075822
0.01,0.11825000000000001,0,0,0.038205246579894325,0.038910484978698257
0.01,0.11912500000000001,0,0,0.045455593041871245,0.046170331590739577
0.01,0.12000000000000001,0,0,0.05245606198531183,0.053184797832289465
0.01,0.12087500000000001,0,0,0.059197045640223045,0.059944007510765451
0.01,0.12175000000000001,0,0,0.065669372425710637,0.066438513364634355
0.01,0.12262500000000001,0,0,0.07186429035559222,0.072659281493329231
0.01,0.12350000000000001,0.00049247807620045325,0,0.077773451469695609,0.078597676774485814
0.01,0.12437500000000001,0.0047676245505574033,0,0.083388897295345155,0.084245449276517059
0.01,0.12525000000000003,0.0088024112968830281,0,0.088703045347961862,0.089594721678640354
0.01,0.12612500000000001,0.012590820764142641,0.00053130637444226414,0.093708676683417536,0.094637977713859622
0.01,0.127,0.01612715814372867,0.003852047756782162,0.098398924517934416,0.099368051653205725
0.01,0.12787500000000002,0.019406047665514126,0.0069253597516103493,0.10276726393396418,0.10377811885191168
0.01,0.12875000000000003,0.022422429462521043,0.0097465972225710407,0.10680750269282274,0.10786168738020913
0.01,0.12962500000000002,0.025171557039771253,0.01231142300337823,0.11051377317688532,0.11161259076320862
0.01,0.1305,0.027648995382216823,0.014615805462838138,0.11388052548605104,0.11502498185594301
