case_id,a_m,t1_over_a,mass_kg,compliance_Nm,constraint_observed,feasible_observed,pareto_case071,plot_group_case071,constraint_hypothetical,hypothetically_flipped,continuation_case
1,0.0144974658813887,0.160574896040572,49.5595468518454,47.9058793812736,-1,1,1,current_pf_pre_continuation,-1,0,0
2,0.0134898097690815,0.356100123735996,77.3330625363387,44.6806229755678,-1,1,0,feasible_dominated,-1,0,0
3,0.0269880858966697,0.301500031087591,70.4754207949865,48.5875579663559,1,0,0,infeasible,1,0,0
4,0.0286018465546866,0.111476626094625,42.2513908238628,49.4630657665459,1,0,0,infeasible,1,0,0
5,0.0102181934949284,0.052475773188447,34.185803653595,51.5927605095427,1,0,0,infeasible,1,0,0
6,0.0180814171495891,0.247750568190532,62.1927690824764,46.7044545296546,-1,1,0,feasible_dominated,-1,0,0
7,0.0169055689400724,0.393119166234908,81.9333328100787,44.8922637284165,1,0,0,infeasible,1,0,0
8,0.0217227511143426,0.216212064970839,57.7234959663873,46.7847214350233,1,0,0,infeasible,-1,1,0
9,0.0237014119888819,0.273438436334868,66.1482358421261,46.5051076913178,1,0,0,infeasible,1,0,0
10,0.0254849834917525,0.138434890288404,46.1448242898532,48.5724888344484,1,0,0,infeasible,1,0,0
11,0.0145412717461586,0.380077514648438,80.2838122485502,45.0355490199862,-1,1,0,feasible_dominated,-1,0,0
12,0.019731073141098,0.4,82.7356059496231,45.1539220612506,1,0,0,infeasible,1,0,0
13,0.0222230539321899,0.05,34.9636779639435,52.122061992478,1,0,0,infeasible,1,0,0
14,0.03,0.05,34.9397135929917,52.2867151068532,1,0,0,infeasible,1,0,0
15,0.0189818304181099,0.05,34.9645009485235,52.0381356776315,1,0,0,infeasible,1,0,0
16,0.0172858974933624,0.114585369229317,42.6738151164192,49.2296377640687,-1,1,1,current_pf_pre_continuation,-1,0,0
17,0.0152845346331596,0.05,34.9564142498976,51.9535017442378,1,0,0,infeasible,1,0,0
18,0.0247696900963783,0.05,34.9113965310442,52.0775151978432,1,0,0,infeasible,1,0,0
19,0.0215657345056534,0.08477732822299,38.7313469265135,50.3574715868679,1,0,0,infeasible,1,0,0
20,0.01,0.0887852992117405,39.3031651223983,50.1120654375074,1,0,0,infeasible,1,0,0
21,0.0269219255447388,0.05,34.9428616910916,52.2032436497705,1,0,0,infeasible,1,0,0
22,0.0236992618441582,0.0869404566287994,39.0464059713396,50.2508631567808,1,0,0,infeasible,1,0,0
23,0.0208363028764725,0.05,34.9160893434557,52.1510309293074,1,0,0,infeasible,1,0,0
24,0.0213310543894768,0.0996947664022446,40.6730364123554,49.8466822722321,1,0,0,infeasible,1,0,0
25,0.03,0.358922029091159,80.7621516778312,48.9556362321362,1,0,0,infeasible,1,0,0
26,0.01,0.4,83.1435841009252,43.5532956609117,-1,1,1,current_pf_pre_continuation,-1,0,0
27,0.0139450238347054,0.0777359391748905,37.9809894214602,50.5344373148718,1,0,0,infeasible,1,0,0
28,0.0126962890625,0.05,34.9435013223255,51.9524926349367,1,0,0,infeasible,1,0,0
29,0.01797900390625,0.178620958477259,52.0485671556771,47.7825959272839,1,0,0,infeasible,-1,1,0
30,0.0176646341085434,0.05,34.9784436902758,52.0476399864222,1,0,0,infeasible,1,0,0
31,0.0202024056911468,0.0702535301446915,37.0257123361069,50.9427593342365,1,0,0,infeasible,1,0,0
32,0.0119783584475517,0.0923441590368748,39.7471884027504,50.0639190178104,1,0,0,infeasible,1,0,0
33,0.0139797511100769,0.05,34.9666443700012,51.987975143597,1,0,0,infeasible,1,0,0
34,0.01,0.184262000270155,53.0942496048897,47.7408463787458,1,0,0,infeasible,1,0,0
35,0.0295479398965836,0.188375513553619,53.6506788002677,48.8523447335909,1,0,0,infeasible,1,0,0
36,0.03,0.185858264267445,53.3352533058769,48.9655774767383,1,0,0,infeasible,1,0,0
37,0.01,0.18949428327421,53.7027665150797,47.619034057804,1,0,0,infeasible,1,0,0
38,0.023313203394413,0.05,34.9587809912558,52.1014929196133,1,0,0,infeasible,1,0,0
39,0.0160630493164063,0.05,34.964807738369,51.9480028639105,1,0,0,infeasible,1,0,0
40,0.0227337878346443,0.102328569591045,40.9379289155463,49.7482706083592,-1,1,1,current_pf_pre_continuation,-1,0,0
41,0.0172516611814499,0.27612957788433,66.4940594464922,46.187758891421,-1,1,0,feasible_dominated,-1,0,0
42,0.0232885437849483,0.282570270153855,67.3169210959113,46.3563554445279,1,0,0,infeasible,1,0,0
43,0.0294318888303902,0.0939280243306607,39.9033073966046,50.0476549330496,1,0,0,infeasible,1,0,0
44,0.0202001724926524,0.352001470888332,76.9430363940924,45.2084590046599,1,0,0,infeasible,1,0,0
45,0.0261458583478198,0.143959648924425,46.8886677681296,48.4729095225877,1,0,0,infeasible,1,0,0
46,0.0277419886811987,0.35683626960036,79.4381777676451,48.9318781204314,1,0,0,infeasible,1,0,0
47,0.0149349017620916,0.264655356371772,64.9392886081176,45.7550433908959,-1,1,0,feasible_dominated,-1,0,0
48,0.0126537872745888,0.387224258184693,81.149745444908,44.2400284781794,-1,1,0,feasible_dominated,-1,0,0
49,0.0135437570778556,0.213367325042047,57.49440995152,46.5847297547918,-1,1,1,current_pf_pre_continuation,-1,0,0
50,0.0182694556631608,0.266450172810763,64.8722693959531,46.3741980439255,-1,1,0,feasible_dominated,-1,0,0
51,0.0133907068820696,0.260181831333379,64.3369189959036,45.5844464660689,-1,1,1,current_pf_pre_continuation,-1,0,0
52,0.0107334526879464,0.322287320940962,73.2797777997022,44.5998266151957,-1,1,1,current_pf_continuation,-1,0,1
53,0.0140014653160599,0.187974186044101,53.7545269804038,47.2169143343539,-1,1,1,current_pf_continuation,-1,0,1
54,0.0144687654380884,0.138694420507902,46.2696170832032,48.4534818296999,-1,1,1,current_pf_continuation,-1,0,1
55,0.0122559520330082,0.291637121865372,68.8572137291215,44.9955535533205,-1,1,1,current_pf_continuation,-1,0,1
56,0.010569004832957,0.360706342204495,78.299893302499,44.1175513858324,-1,1,1,current_pf_continuation,-1,0,1
57,0.0136951104646708,0.238600522087526,61.2255529686386,46.0807258064085,-1,1,1,current_pf_continuation,-1,0,1
58,0.0149890435929491,0.12513908962461,44.2738554903085,48.8532441410558,-1,1,1,current_pf_continuation,-1,0,1
59,0.012400679973016,0.275307347663638,66.5660927991033,45.2029244318077,-1,1,1,current_pf_continuation,-1,0,1
60,0.0136842585234569,0.173759420060956,51.5753412629072,47.5268997568877,-1,1,1,current_pf_continuation,-1,0,1
61,0.0102299919665639,0.381900668093093,80.9176498246561,43.7806238640196,-1,1,1,current_pf_continuation,-1,0,1
62,0.0105107003281649,0.337222268075995,75.2379437665967,44.4097319983099,-1,1,1,current_pf_continuation,-1,0,1
63,0.0129091096975604,0.198034725238643,55.2155242492818,46.9279142616761,-1,1,1,current_pf_continuation,-1,0,1
64,0.0128881154488083,0.229170741922922,59.9132339830928,46.1782942907861,-1,1,1,current_pf_continuation,-1,0,1
65,0.0123890889344575,0.248082826608985,62.6402280514774,45.696531907623,-1,1,1,current_pf_continuation,-1,0,1
66,0.0137867266310104,0.149989949249722,47.9639526763093,48.1674175710636,-1,1,1,current_pf_continuation,-1,0,1
67,0.0109857040388572,0.304724471300638,70.9126498472177,44.8248781893566,-1,1,1,current_pf_continuation,-1,0,1
68,0.0122445218054538,0.262086441018802,64.8170176591656,45.423871145185,-1,1,1,current_pf_continuation,-1,0,1
69,0.0153209860372263,0.107012240517387,41.8081958729977,49.4038395457071,-1,1,1,current_pf_continuation,-1,0,1
70,0.0154435748900962,0.093826622786741,39.9730748175242,49.8490642701714,-1,1,1,current_pf_continuation,-1,0,1
71,0.0128584146218527,0.22029711034482,58.6480745404004,46.3711296029843,-1,1,1,current_pf_continuation,-1,0,1
