"figure","record_type","case_id","view","source_png","x_px","y_px","width_px","height_px","x2_px","y2_px","text","font","font_px","font_weight","color","line_width_px","horizontal_alignment","vertical_alignment","isotropic_scale_factor","source_crop_sha256"
"ntop_representative_planforms.png","canvas","","","","0","0","4136","1124","","","","","","","#ffffff","","","","",""
"ntop_representative_planforms.png","text","","","","40","12","4056","105","","","Lattice property graph","Arial","90","bold","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","text","","","","40","118","1320","100","","","Case 45","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","text","","","","1408","118","1320","100","","","Case 47","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","text","","","","2776","118","1320","100","","","Case 20","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","image","45","graph_overview","planform_45_graph_overview_native.png","135.611002445221","282.151455879211","1128.77799510956","615.697088241577","","","","","","","","","","","0.855134844779968","ee6a136dd8568f49d8c102361231d8718d2981726d36f1357c2e4624ce438bb2"
"ntop_representative_planforms.png","line","45","graph_overview","","581.600002779869","985","","","818.399997220131","985","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","45","graph_overview","","581.600002779869","972","","","581.600002779869","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","45","graph_overview","","818.399997220131","972","","","818.399997220131","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","text","","","","40","1003","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","image","47","graph_overview","planform_47_graph_overview_native.png","1456.3505833149","256.373045444489","1223.29883337021","667.253909111023","","","","","","","","","","","0.926741540431976","5ae54a585995b9d458bc97f4f64758ff2a7df05f807339ad4d0fc7a620014da8"
"ntop_representative_planforms.png","line","47","graph_overview","","1949.59999867753","985","","","2186.40000132247","985","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","47","graph_overview","","1949.59999867753","972","","","1949.59999867753","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","47","graph_overview","","2186.40000132247","972","","","2186.40000132247","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","text","","","","1408","1003","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_planforms.png","image","20","graph_overview","planform_20_graph_overview_native.png","2776","230","1320","720","","","","","","","","","","","1","c355e28282dff18c5622409eacfcaf7ae397fee80c98e032dad06afca6173c01"
"ntop_representative_planforms.png","line","20","graph_overview","","3317.6","985","","","3554.4","985","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","20","graph_overview","","3317.6","972","","","3317.6","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","line","20","graph_overview","","3554.4","972","","","3554.4","998","","","","","#000000","7","","","",""
"ntop_representative_planforms.png","text","","","","2776","1003","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
