"figure","record_type","case_id","view","source_png","x_px","y_px","width_px","height_px","x2_px","y2_px","text","font","font_px","font_weight","color","line_width_px","horizontal_alignment","vertical_alignment","isotropic_scale_factor","source_crop_sha256"
"ntop_representative_topologies.png","canvas","","","","0","0","4136","2104","","","","","","","#ffffff","","","","",""
"ntop_representative_topologies.png","text","","","","40","114","4056","94","","","Lattice property graph","Arial","90","bold","#1e1e1e","","left","center","",""
"ntop_representative_topologies.png","text","","","","40","1104","4056","94","","","Inboard solid detail","Arial","90","bold","#1e1e1e","","left","center","",""
"ntop_representative_topologies.png","text","","","","40","10","1320","100","","","FCC (case 70)","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","text","","","","1408","10","1320","100","","","BCC (case 17)","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","text","","","","2776","10","1320","100","","","SC (case 53)","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","70","graph_overview","FCC_70_graph_overview_native.png","113.556263446808","260.121598243713","1172.88747310638","639.756803512573","","","","","","","","","","","0.888551115989685","626de9d4e6730fadd4a960044872351a50f6798fd7b9e41752264383968a4d03"
"ntop_representative_topologies.png","line","70","graph_overview","","573.995725221219","975","","","826.004274778781","975","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","70","graph_overview","","573.995725221219","962","","","573.995725221219","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","70","graph_overview","","826.004274778781","962","","","826.004274778781","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","40","993","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","17","graph_overview","BCC_17_graph_overview_native.png","1408","220","1320","720","","","","","","","","","","","1","06a27d8a5869a65d7f090e606d985851937e5de91c438acdc2ed433aa18388ba"
"ntop_representative_topologies.png","line","17","graph_overview","","1941.99572649573","975","","","2194.00427350427","975","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","17","graph_overview","","1941.99572649573","962","","","1941.99572649573","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","17","graph_overview","","2194.00427350427","962","","","2194.00427350427","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","1408","993","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","53","graph_overview","SC_53_graph_overview_native.png","2776.18383145332","220.100271701813","1319.63233709335","719.799456596375","","","","","","","","","","","0.999721467494965","bd07c5e093a956da197aaea9bbd296768d5b1c315d1ead84dfb543690214c3c0"
"ntop_representative_topologies.png","line","53","graph_overview","","3309.99572877411","975","","","3562.00427122589","975","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","53","graph_overview","","3309.99572877411","962","","","3309.99572877411","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","53","graph_overview","","3562.00427122589","962","","","3562.00427122589","988","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","2776","993","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","70","root_solid_close","FCC_70_root_solid_close_native.png","40","1210","1320","720","","","","","","","","","","","1","809632608384871c70e3753ba58e8b1b5bb6a94e63b91b2dc53f8d19a3c0b381"
"ntop_representative_topologies.png","line","70","root_solid_close","","551.274703557312","1965","","","848.725296442688","1965","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","70","root_solid_close","","551.274703557312","1952","","","551.274703557312","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","70","root_solid_close","","848.725296442688","1952","","","848.725296442688","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","40","1983","1320","95","","","50 mm","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","17","root_solid_close","BCC_17_root_solid_close_native.png","1408","1210","1320","720","","","","","","","","","","","1","758b1fb7feddef48672f2c69feaad1b9a82e6ec61c5b606c51e503c3aa1f77d6"
"ntop_representative_topologies.png","line","17","root_solid_close","","1917.43675889328","1965","","","2218.56324110672","1965","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","17","root_solid_close","","1917.43675889328","1952","","","1917.43675889328","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","17","root_solid_close","","2218.56324110672","1952","","","2218.56324110672","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","1408","1983","1320","95","","","50 mm","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_representative_topologies.png","image","53","root_solid_close","SC_53_root_solid_close_native.png","2776","1210","1320","720","","","","","","","","","","","1","c8e655a8de73f2a6d2b67b73cba6b9cda0233daabff426d57418fe3b92b844fb"
"ntop_representative_topologies.png","line","53","root_solid_close","","3303.82307692308","1965","","","3568.17692307692","1965","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","53","root_solid_close","","3303.82307692308","1952","","","3303.82307692308","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","line","53","root_solid_close","","3568.17692307692","1952","","","3568.17692307692","1978","","","","","#000000","7","","","",""
"ntop_representative_topologies.png","text","","","","2776","1983","1320","95","","","50 mm","Arial","78","regular","#1e1e1e","","center","center","",""
