case_id,phase,box_restricted_hypervolume,normalized_hypervolume,feasible,final_pareto,phase_size,phase_feasible_count,phase_final_pareto_count,phase_feasible_share_percent,phase_final_pareto_share_percent,reference_cditrim,reference_ctrim,case30_hypervolume
1,initial_design,0.10417891331134463,0.6494325462532969,true,true,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
2,initial_design,0.10454697686553151,0.651726988032165,true,true,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
3,initial_design,0.10508320778573008,0.6550697548245538,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
4,initial_design,0.10508320778573008,0.6550697548245538,true,true,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
5,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
6,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
7,initial_design,0.10508320778573008,0.6550697548245538,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
8,initial_design,0.10508320778573008,0.6550697548245538,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
9,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
10,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
11,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
12,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
