case_id,velocity_m_per_s,maximum_filtered_damping,within_30_150_m_per_s_screen
4,30,-5.5916975e-06,true
4,33.5294,-6.4496632e-06,true
4,37.0588,-7.2709329e-06,true
4,40.5882,-8.0580013e-06,true
4,44.1176,-8.8150129e-06,true
4,47.6471,-9.5459199e-06,true
4,51.1765,-1.0254064e-05,true
4,54.7059,-1.094219e-05,true
4,58.2353,-1.1612266e-05,true
4,60,-1.1939007e-05,true
4,61.7647,-1.225663e-05,true
4,65.2941,-1.2855706e-05,true
4,68.8235,-1.33971e-05,true
4,72.3529,-1.3874659e-05,true
4,75.8824,-1.4286241e-05,true
4,79.4118,-1.463222e-05,true
4,82.9412,-1.4914604e-05,true
4,86.4706,-1.5136356e-05,true
4,90,-1.5300994e-05,true
4,93.5294,-1.5412315e-05,true
4,97.0588,-1.547441e-05,true
4,100.5882,-1.5497352e-05,true
4,104.1176,-1.5496132e-05,true
4,107.6471,-1.5482606e-05,true
4,111.1765,-1.5465762e-05,true
4,114.7059,-1.545235e-05,true
4,118.2353,-1.544738e-05,true
4,120,-1.5449249e-05,true
4,121.7647,-1.5454514e-05,true
4,125.2941,-1.5476372e-05,true
4,128.8235,-1.551478e-05,true
4,132.3529,-1.5570961e-05,true
4,135.8824,-1.5645695e-05,true
4,139.4118,-1.5739424e-05,true
4,142.9412,-1.585237e-05,true
4,146.4706,-1.5983869e-05,true
4,150,-1.6129366e-05,true
37,30,-6.3389419e-07,true
37,33.5294,-6.9259345e-07,true
37,37.0588,-7.2274115e-07,true
37,40.5882,-7.3005664e-07,true
37,44.1176,-7.2292117e-07,true
37,47.6471,-7.0747167e-07,true
37,51.1765,-6.8749208e-07,true
37,54.7059,-6.6584649e-07,true
37,58.2353,-6.4413812e-07,true
37,60,-6.335553e-07,true
37,61.7647,-6.2328782e-07,true
37,65.2941,-6.0333472e-07,true
37,68.8235,-5.844573e-07,true
37,72.3529,-5.6648805e-07,true
37,75.8824,-5.4925223e-07,true
37,79.4118,-5.3282188e-07,true
37,82.9412,-5.1532662e-07,true
37,86.4706,-5.0147831e-07,true
37,90,-6.3082558e-07,true
37,93.5294,-4.7184241e-07,true
37,97.0588,-4.575797e-07,true
37,100.5882,-4.4364742e-07,true
37,104.1176,-4.3020733e-07,true
37,107.6471,-4.1719428e-07,true
37,111.1765,-4.0465742e-07,true
37,114.7059,-3.9264612e-07,true
37,118.2353,-3.8111873e-07,true
37,120,-3.7556008e-07,true
37,121.7647,-3.7007776e-07,true
37,125.2941,-3.5953094e-07,true
37,128.8235,-3.4942415e-07,true
37,132.3529,-3.3968367e-07,true
37,135.8824,-3.3041229e-07,true
37,139.4118,-3.2146165e-07,true
37,142.9412,-3.1247227e-07,true
37,146.4706,-3.0459311e-07,true
37,150,-2.9661421e-07,true
64,30,-1.0702218e-05,true
64,33.5294,-1.2061575e-05,true
64,37.0588,-1.3178083e-05,true
64,40.5882,-1.4031765e-05,true
64,44.1176,-1.4583288e-05,true
64,47.6471,-1.4164273e-05,true
64,51.1765,-1.48886e-05,true
64,54.7059,-1.4724867e-05,true
64,58.2353,-1.4392915e-05,true
64,60,-1.1341957e-05,true
64,61.7647,-1.3977933e-05,true
64,65.2941,-1.3450295e-05,true
64,68.8235,-1.2878826e-05,true
64,72.3529,-1.2282219e-05,true
64,75.8824,-1.1678604e-05,true
64,79.4118,-1.1068455e-05,true
64,82.9412,-1.0493747e-05,true
64,86.4706,-9.9319994e-06,true
64,90,-9.3823812e-06,true
64,93.5294,-8.8627965e-06,true
64,97.0588,-8.3683137e-06,true
64,100.5882,-6.215335e-06,true
64,104.1176,-7.4511418e-06,true
64,107.6471,-7.0332661e-06,true
64,111.1765,-6.6406475e-06,true
64,114.7059,-6.2988135e-06,true
64,118.2353,-5.9412908e-06,true
64,120,-5.7988618e-06,true
64,121.7647,-5.653321e-06,true
64,125.2941,-5.3864431e-06,true
64,128.8235,-5.153009e-06,true
64,132.3529,-4.9499562e-06,true
64,135.8824,-4.7778551e-06,true
64,139.4118,-4.6400249e-06,true
64,142.9412,-4.523963e-06,true
64,146.4706,-4.3677947e-06,true
64,150,-4.3860459e-06,true
65,30,-3.7427949e-07,true
65,33.5294,-4.2846871e-07,true
65,37.0588,-4.8027195e-07,true
65,40.5882,-5.3255222e-07,true
65,44.1176,-5.8705247e-07,true
65,47.6471,-6.444872e-07,true
65,51.1765,-7.0508308e-07,true
65,54.7059,-7.6884277e-07,true
65,58.2353,-8.3422071e-07,true
65,60,-8.6650575e-07,true
65,61.7647,-8.9811124e-07,true
65,65.2941,-9.584299e-07,true
65,68.8235,-1.0139067e-06,true
65,72.3529,-1.0637974e-06,true
65,75.8824,-1.1077086e-06,true
65,79.4118,-1.1454838e-06,true
65,82.9412,-1.1771421e-06,true
65,86.4706,-1.2028295e-06,true
65,90,-1.222791e-06,true
65,93.5294,-1.2376046e-06,true
65,97.0588,-1.2483501e-06,true
65,100.5882,-1.2559554e-06,true
65,104.1176,-1.2611385e-06,true
65,107.6471,-1.2644464e-06,true
65,111.1765,-1.2662889e-06,true
65,114.7059,-1.2669697e-06,true
65,118.2353,-1.2667114e-06,true
65,120,-1.2662829e-06,true
65,121.7647,-1.265677e-06,true
65,125.2941,-1.2639875e-06,true
65,128.8235,-1.2617352e-06,true
65,132.3529,-1.2589944e-06,true
65,135.8824,-1.2558396e-06,true
65,139.4118,-1.252509e-06,true
65,142.9412,-1.2493499e-06,true
65,146.4706,-1.2466577e-06,true
65,150,-1.2446749e-06,true
99,30,-6.6222155e-07,true
99,33.5294,-7.5731428e-07,true
99,37.0588,-8.5045474e-07,true
99,40.5882,-9.4455531e-07,true
99,44.1176,-1.0413109e-06,true
99,47.6471,-1.1416077e-06,true
99,51.1765,-1.2460123e-06,true
99,54.7059,-1.3547257e-06,true
99,58.2353,-1.4635647e-06,true
99,60,-1.5161592e-06,true
99,61.7647,-1.566825e-06,true
99,65.2941,-1.6608566e-06,true
99,68.8235,-1.7433403e-06,true
99,72.3529,-1.8127968e-06,true
99,75.8824,-1.868296e-06,true
99,79.4118,-1.9092804e-06,true
99,82.9412,-1.9354689e-06,true
99,86.4706,-1.9467936e-06,true
99,90,-1.9435585e-06,true
99,93.5294,-1.9284057e-06,true
99,97.0588,-1.9049478e-06,true
99,100.5882,-1.8761215e-06,true
99,104.1176,-1.8442823e-06,true
99,107.6471,-1.8113075e-06,true
99,111.1765,-1.7786835e-06,true
99,114.7059,-1.7475707e-06,true
99,118.2353,-1.7188649e-06,true
99,120,-1.7056344e-06,true
99,121.7647,-1.693246e-06,true
99,125.2941,-1.6712186e-06,true
99,128.8235,-1.6531462e-06,true
99,132.3529,-1.639279e-06,true
99,135.8824,-1.6295953e-06,true
99,139.4118,-1.6236759e-06,true
99,142.9412,-1.6211049e-06,true
99,146.4706,-1.6215182e-06,true
99,150,-1.6245966e-06,true
