case_id,angle_of_attack_deg,half_wing_strain_energy_Nm
4,-4,1.002402
4,-2,0.2057019
4,0,0.01344691
4,2,0.4257806
4,4,1.442764
4,6,3.064457
4,8,5.291054
4,10,8.121546
4,12,11.55755
37,-4,1.492448
37,-2,0.2248606
37,0,0.09459617
37,2,1.101971
37,4,3.247048
37,6,6.52995
37,8,10.95106
37,10,16.50839
37,12,23.20513
64,-4,2.139294
64,-2,0.3142003
64,0,0.13793
64,2,1.610944
64,4,4.733329
64,6,9.505265
64,8,15.92731
64,10,23.99657
64,12,33.71768
65,-4,6.885318
65,-2,0.9776378
65,0,0.4463359
65,2,5.292923
65,4,15.51768
65,6,31.12118
65,8,52.10525
65,10,78.46046
65,12,110.2019
99,-4,7.351875
99,-2,1.040514
99,0,0.4791863
99,2,5.669508
99,4,16.61177
99,6,33.30661
99,8,55.75596
99,10,83.94974
99,12,117.9041
