record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,refined_mesh
evaluation,1,initial_design,corner,6.0,0.2,0.05,0.15,0.010537843603557452,10.953141766601407,true,feasible,true,false
evaluation,2,initial_design,corner,6.0,0.2,0.05,0.5,0.010566434068262815,10.80771945298735,true,feasible,true,false
evaluation,3,initial_design,corner,6.0,0.2,0.4,0.15,0.012580989612239302,9.769402147107584,true,feasible,false,false
evaluation,4,initial_design,corner,6.0,0.2,0.4,0.5,0.013097431856977027,9.3272810223876,true,feasible,true,false
evaluation,5,initial_design,corner,6.0,0.8,0.05,0.15,0.010687584353453305,30.25066730678607,false,lattice stress,false,false
evaluation,6,initial_design,corner,6.0,0.8,0.05,0.5,0.010712620946390243,29.87650941757736,false,lattice stress,false,false
evaluation,7,initial_design,corner,6.0,0.8,0.4,0.15,0.011905061419245216,26.94741692712225,true,feasible,false,false
evaluation,8,initial_design,corner,6.0,0.8,0.4,0.5,0.012397069079397381,25.884065670867656,true,feasible,false,false
evaluation,9,initial_design,corner,12.0,0.2,0.05,0.15,0.005399311787796914,79.82404880112628,false,skin+lattice stress,false,false
evaluation,10,initial_design,corner,12.0,0.2,0.05,0.5,0.005407695751789858,79.51250922357943,false,skin+lattice stress,false,false
evaluation,11,initial_design,corner,12.0,0.2,0.4,0.15,0.005981173409376953,77.3272538872847,false,skin stress,false,false
evaluation,12,initial_design,corner,12.0,0.2,0.4,0.5,0.006138873068373683,74.56078913576043,false,skin stress,false,false
evaluation,13,initial_design,corner,12.0,0.8,0.05,0.15,0.005602894012336751,246.23466447719449,false,skin+lattice stress,false,false
evaluation,14,initial_design,corner,12.0,0.8,0.05,0.5,0.005611556435273702,245.24499367835745,false,skin+lattice stress,false,false
evaluation,15,initial_design,corner,12.0,0.8,0.4,0.15,0.006017925290249504,235.2773319490137,false,skin stress,false,false
evaluation,16,initial_design,corner,12.0,0.8,0.4,0.5,0.006183431517330535,226.55251024887647,false,skin stress,false,false
evaluation,17,initial_design,LHS,10.4034424606333,0.223869741267448,0.222178367932089,0.191861400637229,0.006491923469849513,51.654576136822094,true,feasible,false,false
evaluation,18,initial_design,LHS,8.2322701288741,0.287900190134212,0.276083285414566,0.354585811640608,0.008398115763181184,28.870197030915154,true,feasible,false,false
evaluation,19,initial_design,LHS,11.702297809981,0.598728696447524,0.100426785705812,0.375871144514997,0.005639011997447122,161.31436486347476,false,skin+lattice stress,false,false
evaluation,20,initial_design,LHS,6.45194918476187,0.439719649267973,0.307227122468246,0.447654237101457,0.011037470963872123,18.328044928502756,true,feasible,false,false
evaluation,21,initial_design,LHS,8.11800072577512,0.698603634557141,0.254397545382508,0.308361056454605,0.008371737952263739,56.781775950946944,false,skin stress,false,false
evaluation,22,initial_design,LHS,9.33172562503914,0.553176127046963,0.358051171454899,0.268920491146494,0.007400672057622367,72.01102580718451,false,skin stress,false,false
evaluation,23,initial_design,LHS,11.1406833735304,0.719603002448294,0.0870488150988581,0.153889485873834,0.005953751001224691,168.96667704899534,false,skin+lattice stress,false,false
evaluation,24,initial_design,LHS,7.19802383255301,0.384802222815527,0.188405479604342,0.207919988971845,0.009120755589745979,24.22707213202258,true,feasible,false,false
evaluation,25,initial_design,LHS,10.0490423099991,0.370645763662115,0.24618765591677,0.489226879454241,0.006747912181641475,62.484700128705114,false,skin stress,false,false
evaluation,26,initial_design,LHS,8.61850710412118,0.758448562282204,0.396221457689289,0.419353164429923,0.008417454560047897,76.49191829659222,false,skin stress,false,false
evaluation,27,initial_design,LHS,6.08453052748098,0.508808289578874,0.0591278928737032,0.280668870100464,0.010334424614667267,19.962422539631817,false,lattice stress,false,false
evaluation,28,initial_design,LHS,9.54355370933676,0.483955615400611,0.158296695393669,0.24499033816448,0.006827757102993304,68.17770853981266,false,skin stress,false,false
evaluation,29,initial_design,LHS,7.3875151590941,0.643415498457337,0.14398682396387,0.455549947458037,0.008860480255377404,40.01009119551488,false,skin stress,false,false
evaluation,30,initial_design,LHS,11.1915732821967,0.285575835630773,0.334613155935868,0.332513759633173,0.006244878642218439,74.86449269182644,false,skin stress,false,false
evaluation,31,adaptive_phase,adaptive,7.099406279890274,0.20003434233206205,0.09813313526134776,0.4999993667104473,0.009090738544499733,16.237341487971495,true,feasible,true,false
evaluation,32,adaptive_phase,adaptive,6.693470042627528,0.2696518311725999,0.05003031982292529,0.45760668429687323,0.009329892202867847,16.953692042980123,false,lattice stress,false,false
evaluation,33,adaptive_phase,adaptive,9.227112116310336,0.20003164962270606,0.11238580820478711,0.15000287991556377,0.007026015592198088,34.99591902020095,true,feasible,true,false
evaluation,34,adaptive_phase,adaptive,8.591540102784826,0.2000160410573461,0.2056645567601489,0.4006005594783396,0.00787853358965881,27.13951882212881,true,feasible,false,false
evaluation,35,adaptive_phase,adaptive,7.773534050815053,0.20000505688264122,0.3999999818184432,0.1500333615206004,0.009500874773356094,20.568302774727687,true,feasible,false,false
evaluation,36,adaptive_phase,adaptive,6.367254858068035,0.20003549398402845,0.12096257177722089,0.313567199534024,0.010299051132739215,11.910053368458218,true,feasible,true,false
evaluation,37,adaptive_phase,adaptive,6.6867697591199855,0.2000609402952201,0.050016507764657894,0.1500014908700283,0.009408487020013451,14.658171321975804,true,feasible,true,false
evaluation,38,adaptive_phase,adaptive,8.090467240031042,0.20004867711682625,0.05204354267630477,0.2053616273241588,0.007792999901031286,24.633990631193626,false,lattice stress,false,false
evaluation,39,adaptive_phase,adaptive,6.000706860318749,0.2309047906499493,0.16707981182730064,0.46428263128932556,0.011283030458540674,10.465443060155561,true,feasible,false,false
evaluation,40,adaptive_phase,adaptive,6.0002968243986725,0.3103016736286488,0.05139864871237341,0.1500315355073877,0.01042477015661332,13.753412501837186,false,lattice stress,false,false
evaluation,41,adaptive_phase,adaptive,7.354405424392972,0.20000414343539902,0.11638338960424995,0.31406782851252574,0.008808344359736415,17.871041504122502,true,feasible,true,false
evaluation,42,adaptive_phase,adaptive,7.5303334213177076,0.2000205177478771,0.2546591747489949,0.3009739089502312,0.009302315141017276,18.756880813362013,true,feasible,false,false
evaluation,43,adaptive_phase,adaptive,6.4556857537748495,0.20003371136119566,0.34990261197402667,0.39967583438119153,0.011673376630335085,11.85542187781331,true,feasible,false,false
evaluation,44,adaptive_phase,adaptive,6.000451487959774,0.20002505485513875,0.10127364790352067,0.37113721662597154,0.010844408176511593,10.17140774745195,true,feasible,true,false
evaluation,45,adaptive_phase,adaptive,9.941581125989316,0.2000102352784432,0.14153115347177017,0.21057188863336335,0.006625327152023833,43.35315034158861,true,feasible,true,false
evaluation,46,adaptive_phase,adaptive,7.803118322193932,0.20002799260958298,0.09355090056759693,0.15000484701899172,0.008152293002020895,21.378306821489755,true,feasible,true,false
evaluation,47,adaptive_phase,adaptive,8.509716665006952,0.2000024012426473,0.07666457310726787,0.4999999971364618,0.007513806013377668,27.68377688775663,true,feasible,true,false
evaluation,48,adaptive_phase,adaptive,10.241174078409239,0.20000000201201404,0.09643039223604488,0.4999999793825224,0.006371858610481518,47.86505096827993,true,feasible,true,false
evaluation,49,adaptive_phase,adaptive,9.531546206608812,0.20001734670608398,0.055752881324700125,0.45575544025024106,0.006715325226290854,39.792909233753626,false,lattice stress,false,false
evaluation,50,adaptive_phase,adaptive,6.000016046700841,0.3636264271638667,0.2530598315428904,0.2814376944471977,0.011518309354253922,13.480985770102981,true,feasible,false,false
evaluation,51,adaptive_phase,adaptive,6.667025644015537,0.23268745841491387,0.3095197294659958,0.15000403909683946,0.010678168299601092,14.308986881204248,true,feasible,false,false
evaluation,52,adaptive_phase,adaptive,6.000031355549499,0.2000247409718874,0.05830551322868176,0.28895348099412543,0.010585451183080612,10.71819345470712,true,feasible,true,false
evaluation,53,adaptive_phase,adaptive,10.579905329405042,0.20000925596265368,0.13407417242828018,0.15000015457573584,0.006225369955525823,52.606014232006274,true,feasible,true,false
evaluation,54,adaptive_phase,adaptive,9.526505310647748,0.2000103644213879,0.09484092850513123,0.15001570500820569,0.006781671409010044,38.85788975210871,true,feasible,true,false
evaluation,55,adaptive_phase,adaptive,6.029516568846752,0.2000052798537157,0.19161882814474424,0.49210709646784934,0.01151362182328642,9.842261509221682,true,feasible,true,false
evaluation,56,adaptive_phase,adaptive,8.01423296221865,0.20016145251409023,0.05803755005186182,0.4999999964320062,0.007888266461714491,23.579519912754563,true,feasible,true,false
evaluation,57,adaptive_phase,adaptive,8.810154323572622,0.2000318164146102,0.063483676725973,0.49999999709198384,0.007242057619814661,31.12235861809581,true,feasible,true,false
evaluation,58,adaptive_phase,adaptive,6.000135503032287,0.294000222760719,0.3305847170243757,0.15003758572964435,0.01191812952959036,11.847839548502677,true,feasible,false,false
evaluation,59,adaptive_phase,adaptive,6.056571435238671,0.5422022286391893,0.39999999989388535,0.18722020712434426,0.01185686326061004,18.090843400839518,true,feasible,false,false
evaluation,60,adaptive_phase,adaptive,6.000001076179966,0.34109585587750735,0.3953036042726333,0.4999999970645933,0.012636368324049857,12.12675990940598,true,feasible,false,false
evaluation,61,adaptive_phase,adaptive,6.485250299211767,0.2000363591141367,0.05110131438560015,0.4908306560284438,0.009744673920645852,13.320277465023679,true,feasible,true,false
evaluation,62,adaptive_phase,adaptive,6.000131967752454,0.2000518417423856,0.27145891806085326,0.32417538956165587,0.012017180087027589,9.662728208486264,true,feasible,true,false
evaluation,63,adaptive_phase,adaptive,9.95441296079045,0.2000538700578092,0.07087817432806728,0.15000752829482228,0.0064649816182735815,45.00259565476254,false,lattice stress,false,false
evaluation,64,adaptive_phase,adaptive,7.4866938414473925,0.200010195282354,0.06067474807034154,0.1500250203032064,0.008382788694924672,19.582807292172536,true,feasible,true,false
evaluation,65,adaptive_phase,adaptive,10.632015193320802,0.20001983614738497,0.0818403779676036,0.4999990841025972,0.006101881485528542,53.9161801689085,true,feasible,true,true
evaluation,66,adaptive_phase,adaptive,10.862389884073686,0.20015183883389187,0.15179787280542723,0.22009599269221658,0.006118308595319841,56.59899139839442,true,feasible,false,false
evaluation,67,adaptive_phase,adaptive,9.301572246060081,0.2000004014105772,0.057515505006077335,0.499999999691047,0.006875345895782546,36.88143851409933,false,lattice stress,false,false
evaluation,68,adaptive_phase,adaptive,8.467136670798546,0.3960237135460184,0.22851546929930217,0.17654903984993164,0.007773625139374652,39.04872252570431,true,feasible,false,false
evaluation,69,adaptive_phase,adaptive,6.000237249689393,0.6688891202198789,0.3889601898917431,0.1500339787222548,0.011863419879049118,21.56259485408321,true,feasible,false,false
