"figure","record_type","case_id","view","source_png","x_px","y_px","width_px","height_px","x2_px","y2_px","text","font","font_px","font_weight","color","line_width_px","horizontal_alignment","vertical_alignment","isotropic_scale_factor","source_crop_sha256"
"ntop_multiinput_lattice_graph_strip.png","canvas","","","","0","0","4136","1124","","","","","","","#ffffff","","","","",""
"ntop_multiinput_lattice_graph_strip.png","text","","","","40","12","4056","105","","","Lattice property graph","Arial","90","bold","#1e1e1e","","center","center","",""
"ntop_multiinput_lattice_graph_strip.png","text","","","","40","118","1320","100","","","Case 4","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_multiinput_lattice_graph_strip.png","text","","","","1408","118","1320","100","","","Case 37","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_multiinput_lattice_graph_strip.png","text","","","","2776","118","1320","100","","","Case 99","Arial","88","bold","#1e1e1e","","center","center","",""
"ntop_multiinput_lattice_graph_strip.png","image","4","graph_overview","multiinput_4_graph_overview_native.png","40","230","1320","720","","","","","","","","","","","1","fad3f6b972cbb48237efdc33082065821b6f851a50b72151a44f292794eb99dc"
"ntop_multiinput_lattice_graph_strip.png","line","4","graph_overview","","574.064407814408","985","","","825.935592185592","985","","","","","#000000","7","","","",""
"ntop_multiinput_lattice_graph_strip.png","line","4","graph_overview","","574.064407814408","972","","","574.064407814408","998","","","","","#000000","7","","","",""
"ntop_multiinput_lattice_graph_strip.png","line","4","graph_overview","","825.935592185592","972","","","825.935592185592","998","","","","","#000000","7","","","",""
"ntop_multiinput_lattice_graph_strip.png","text","","","","40","1003","1320","95","","","0.5 m","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_multiinput_lattice_graph_strip.png","image","37","graph_overview","multiinput_37_graph_overview_native.png","1425.51945614815","239.556066989899","1284.9610877037","700.887866020203","","","","","","","","","","","0.973455369472504","f53dc98a89b86bea530f950600320528701eedbe04dfa49118a26f19b85c0df0"
"ntop_multiinput_lattice_graph_strip.png","line","37","graph_overview","","1942.0644116566","985","","","2193.9355883434","985","","","","","#000000","7","","","",""
