input_index,input_symbol,input_name,nuisance_variables,record_type,input_physical,threshold_normalized,conditional_exceedance_probability,log10_conditional_exceedance_probability,positive_hvi_fraction,mean_normalized_hvi,median_normalized_hvi,p90_normalized_hvi,p99_normalized_hvi,sampled_profile_maximum_normalized_hvi,selected_input_physical,selected_hvi_normalized,last_positive_input_physical,first_permanent_zero_input_physical,sample_count,iteration,training_count,normalization_maximum,positive_tolerance,evaluation_index,stage,sequential_iteration,x1,x2,x3,x4,objective_y1,objective_y2,constraint_label,feasible,is_selected
1,h,weld thickness,l;t;b,survival_grid,0.125,1e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.10775685050971e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.22712523985119e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.35935639087853e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.50583635427984e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.66810053720006e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,1.84784979742229e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,2.04696827180752e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,2.2675431258708e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1,h,weld thickness,l;t;b,survival_grid,0.125,2.51188643150958e-08,0.64990234375,-0.187151896829118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2048,130,149,13.8549516953896,1.38549516953896e-11,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
