topology,case_id,maximum_damping,strict_pass,num_flutter_roots,rows_per_root,total_rows,finished_at,verified_receipt_sha256,evidence_fingerprint,completion_evidence_path
BCC,1,-4.982641e-07,1,20,37,740,2026-08-29T15:17:49.0000000+09:00,49F06A2EDBC92B091A4962DC4699D0D8458B74360AB81F9FEC6B1422BD058A49,D56A25CD66709C95F39422E0028D743FE866B76A666B8F2873B190430DFE919D,aeroverify/nastran/trials/BCC/1/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,6,-1.209692e-06,1,20,37,740,2026-08-29T17:43:22.7497290+09:00,102B1E9A22563090357492B07EEF617CD2009DF59F6111184A927B614D439123,3F2E15B20F25220C543763E21D21A5BDB761C80B598A97C9ABF0D0FFB5FAD7C1,aeroverify/nastran/trials/BCC/6/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,7,-5.0146506e-07,1,20,37,740,2026-08-29T18:50:27.2474827+09:00,D97FAC98E77DA2A59335D2E2AA8C36F659FC5F2EA82F01E36296F880493B6FCC,F3C2AF9A07967B919C56E9F2F3EAC368FAF30142E1FC96DDE5B95E7C2BB91CC7,aeroverify/nastran/trials/BCC/7/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,9,-1.2240359e-06,1,20,37,740,2026-08-29T20:21:53.1664178+09:00,A6CB6A47A91F98D3184D93C765D6EEE65AB3A51049A4BA092EC4912F68796876,6BF6FFCB46E62F42ADAE05E7B274F76F778C4DBD6775767A5E8FBD1B10E9A3F9,aeroverify/nastran/trials/BCC/9/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,11,-1.374785e-06,1,20,37,740,2026-08-29T20:51:51.8271542+09:00,8CA9BEA65BCBB5CA19BFFE86F7D85FCE5D4ABFE2021F40FFE3A21D27971A34CB,50DAA882F8BF1202E6ECD1B453FC484BDA7FD22B2052469C83D9719E50A355B3,aeroverify/nastran/trials/BCC/11/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,17,-5.1151769e-07,1,20,37,740,2026-08-30T02:01:11.9944164+09:00,550DD61533F3DAFF99755CA60FCE2ECA0F768C19FC800AFAE6B182BF397DEB4A,2D63192F6CC8C6AF84AD00456BBC3B24CB4EC9C53500DB4C9DE07DF657455CE3,aeroverify/nastran/trials/BCC/17/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,24,-6.0140747e-07,1,20,37,740,2026-08-30T05:09:54.7426709+09:00,81B6F2EC0E2B431A824089E417CE4E4F969082978FED6D4D919B210EE3A462A1,10652865BC1803B40FC201F2932CFFEB9594310DD2124AE9DCE060B7D7ABDA15,aeroverify/nastran/trials/BCC/24/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,25,-3.6565278e-07,1,20,37,740,2026-08-30T05:54:01.1651588+09:00,F3CC8F736449BA388AE8D791300E1AA579CF43D78E5B7B8A6678E5056482001D,11C3C49022AD690338BD9ADB4D25C5465BE312D3DAD514B7CB291A237741200C,aeroverify/nastran/trials/BCC/25/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,26,-1.3396228e-06,1,20,37,740,2026-08-30T05:54:06.4678606+09:00,67C73D5682B8125DC6FE64FC754C29414F66F8F1825BB8A013328E9F2E9E0571,C23A61DB40761AA3081B7AF4931F4024EC51DDC1A144FB858D35DDCDB6949E87,aeroverify/nastran/trials/BCC/26/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,45,-3.8654638e-07,1,20,37,740,2026-08-30T08:45:52.4080597+09:00,AE78DFFEABF38BA1F27F17E50660AC32FEC0BDF5DD945860CBE4A296AB4BE830,97448E481C09031B3DD71466C0D71B027F425EC95966BC39440569786F36D70F,aeroverify/nastran/trials/BCC/45/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,46,-4.721157e-07,1,20,37,740,2026-08-30T10:15:19.4774992+09:00,557C8AA973C2B6DD1B27CC60BFB3DC8EB1F41F66FE73E36613E9BD4FCE8F3160,5A53B49FF18E1F7155BCEA7726FE8F02843BF7215277C690793F4B60D670163B,aeroverify/nastran/trials/BCC/46/sol145_mkaero18_rerun_20260829/rerun_success.json
BCC,47,-1.3262766e-06,1,20,37,740,2026-08-30T09:29:47.5449104+09:00,4F0EB6E85F566FC3B283737A6BC07E9CDA4CBCB95BBB24AFD1639C153B6DCC49,DD408EFFDEBBCD7FBBA69D79C9E9980CF2282DA111269EE79894F5D9F5DA5525,aeroverify/nastran/trials/BCC/47/sol145_mkaero18_rerun_20260829/rerun_success.json
