configuration,root,velocity_mps,damping_g,frequency_hz,positive
Coarse edge length: 2.5 mm,19,30.0,-1.0871969e-05,600.76504,False
Coarse edge length: 2.5 mm,19,33.5294,-1.2274144e-05,600.76475,False
Coarse edge length: 2.5 mm,19,37.0588,-1.343775e-05,600.76434,False
Coarse edge length: 2.5 mm,19,40.5882,-1.431693e-05,600.76383,False
Coarse edge length: 2.5 mm,19,44.1176,-1.4881138e-05,600.76326,False
Coarse edge length: 2.5 mm,19,47.6471,-1.5165589e-05,600.76268,False
Coarse edge length: 2.5 mm,19,51.1765,-1.5197649e-05,600.76214,False
Coarse edge length: 2.5 mm,19,54.7059,-1.5028419e-05,600.76164,False
Coarse edge length: 2.5 mm,19,58.2353,-1.4706422e-05,600.7612,False
Coarse edge length: 2.5 mm,19,60.0,-1.4482288e-05,600.76101,False
Coarse edge length: 2.5 mm,19,61.7647,-1.4233897e-05,600.76083,False
Coarse edge length: 2.5 mm,19,65.2941,-1.4195557e-05,600.76053,False
Coarse edge length: 2.5 mm,19,68.8235,-1.2979844e-05,600.76029,False
Coarse edge length: 2.5 mm,19,72.3529,-1.2540959e-05,600.76009,False
Coarse edge length: 2.5 mm,19,75.8824,-1.1927241e-05,600.75994,False
Coarse edge length: 2.5 mm,19,79.4118,-8.6541223e-06,600.75982,False
Coarse edge length: 2.5 mm,19,82.9412,-1.0726428e-05,600.75973,False
Coarse edge length: 2.5 mm,19,86.4706,-1.0149315e-05,600.75966,False
Coarse edge length: 2.5 mm,19,90.0,-9.5961346e-06,600.75961,False
Coarse edge length: 2.5 mm,19,93.5294,-9.0650678e-06,600.75957,False
Coarse edge length: 2.5 mm,19,97.0588,-8.5627185e-06,600.75955,False
Coarse edge length: 2.5 mm,19,100.5882,1.8983639e-06,600.75952,True
Coarse edge length: 2.5 mm,19,104.1176,-7.6289881e-06,600.75951,False
Coarse edge length: 2.5 mm,19,107.6471,-7.1993317e-06,600.7595,False
Coarse edge length: 2.5 mm,19,111.1765,-7.0950006e-06,600.75949,False
Coarse edge length: 2.5 mm,19,114.7059,-7.8297798e-06,600.75947,False
Coarse edge length: 2.5 mm,19,118.2353,-6.0915761e-06,600.75946,False
Coarse edge length: 2.5 mm,19,120.0,-5.9333391e-06,600.75945,False
Coarse edge length: 2.5 mm,19,121.7647,-5.7838753e-06,600.75944,False
Coarse edge length: 2.5 mm,19,125.2941,-5.509635e-06,600.75943,False
Coarse edge length: 2.5 mm,19,128.8235,-5.2724691e-06,600.75941,False
Coarse edge length: 2.5 mm,19,132.3529,-5.0574889e-06,600.75938,False
Coarse edge length: 2.5 mm,19,135.8824,-4.878949e-06,600.75936,False
Coarse edge length: 2.5 mm,19,139.4118,-4.7317419e-06,600.75933,False
Coarse edge length: 2.5 mm,19,142.9412,-4.6127365e-06,600.75931,False
Coarse edge length: 2.5 mm,19,146.4706,-4.5223947e-06,600.75928,False
Coarse edge length: 2.5 mm,19,150.0,-4.4702455e-06,600.75925,False
Loose geometry tolerance: 2.0 mm,19,30.0,-1.063734e-05,600.751,False
Loose geometry tolerance: 2.0 mm,19,33.5294,-1.1896594e-05,600.7507,False
Loose geometry tolerance: 2.0 mm,19,37.0588,-1.296387e-05,600.75032,False
Loose geometry tolerance: 2.0 mm,19,40.5882,-1.3804135e-05,600.74982,False
Loose geometry tolerance: 2.0 mm,19,44.1176,-1.4338848e-05,600.74927,False
Loose geometry tolerance: 2.0 mm,19,47.6471,-1.4590127e-05,600.74872,False
Loose geometry tolerance: 2.0 mm,19,51.1765,-1.4071946e-05,600.74819,False
Loose geometry tolerance: 2.0 mm,19,54.7059,-1.4455167e-05,600.74771,False
Loose geometry tolerance: 2.0 mm,19,58.2353,-1.4138268e-05,600.74729,False
Loose geometry tolerance: 2.0 mm,19,60.0,-1.3935576e-05,600.7471,False
Loose geometry tolerance: 2.0 mm,19,61.7647,-1.3705417e-05,600.74693,False
Loose geometry tolerance: 2.0 mm,19,65.2941,-1.3187086e-05,600.74664,False
Loose geometry tolerance: 2.0 mm,19,68.8235,-1.262186e-05,600.7464,False
Loose geometry tolerance: 2.0 mm,19,72.3529,-1.2028137e-05,600.74622,False
Loose geometry tolerance: 2.0 mm,19,75.8824,-1.1430015e-05,600.74607,False
Loose geometry tolerance: 2.0 mm,19,79.4118,-1.0836645e-05,600.74595,False
Loose geometry tolerance: 2.0 mm,19,82.9412,-1.0257395e-05,600.74586,False
Loose geometry tolerance: 2.0 mm,19,86.4706,-9.6975426e-06,600.74579,False
