"Label","SourceCase","GeometryToleranceM","MeshEdgeLengthM","ShellGridCount","ShellElementCount","BeamElementCount","ConnectorCount","TotalMassKg","StrainEnergyNm","TwoWingComplianceNm","MaxResultantDisplacementM","MaxVerticalDeflectionM","TipVerticalDeflectionM","MaxTorsionDeg","MaxSkinVmMPa","SkinVmP9975MPa","MaxBeamVmMPa","BeamVmP9975MPa","CL10deg","CDN10deg","FirstModalFrequencyHz","FlutterStatus","FlutterPointCount","FlutterVelocityMin","FlutterVelocityMax","MaxFlutterDamping","RelativeCompliance","RelativeMaxDeflection","RelativeSkinP9975","RelativeBeamP9975","RelativeFirstFrequency"
"src004_tol1500um_h2500um_edge_coarse","4","0.0015","0.0025","237310","474616","34304","65874","52.7239454770286","8.101741","32.406964","0.0111600333630953","0.01115982","0.01085577","-0.117635256010077","57.00158","32.1798908750001","25.82842","18.073424125","0.8609409","0.1518045","28.58432","NO_POSITIVE_DAMPING_FOUND","20","30","150","-5.7134167e-06","0.00524711473150619","0.00490067571543978","0.000758470512911887","0.000573018479609991","0.00260469462358208"
"src004_tol1500um_h2000um_edge_nominal","4","0.0015","0.002","411946","823888","34304","65856","52.6985179037192","8.139984","32.559936","0.011209749070955","0.01120955","0.01090505","-0.117375819544217","67.89799","32.1094026500007","25.88141","18.074013725","0.8609619","0.1518082","28.51726","NO_POSITIVE_DAMPING_FOUND","20","30","150","-5.5975415e-06","0.000551539472889238","0.00046634887175675","0.00143363413136975","0.000605659657485846","0.0002525424358981"
"src004_tol1500um_h1800um_edge_fine","4","0.0015","0.0018","437290","874576","34304","65838","52.7097325698767","8.144476","32.577904","0.0112149590361668","0.01121478","0.01091034","-0.117521166959384","71.0429","32.155501875","25.85422","18.06307365","0.8609646","0.1518087","28.51006","NO_POSITIVE_DAMPING_FOUND","20","30","150","-5.5700719e-06","0","0","0","0","0"
"src037_tol1500um_h2500um_edge_coarse","37","0.0015","0.0025","234100","468196","131290","226968","17.7949441971339","16.50814","66.03256","0.0194400283444722","0.01943981","0.01940128","-0.154932803164718","78.36412","47.611062125","164.6742","114.5239475","0.8963356","0.1580454","31.34838","NO_POSITIVE_DAMPING_FOUND","20","30","150","-1.3452477e-07","0.000121137676603523","3.03491697702568e-05","0.0577764562470413","0.000666284729448945","3.41337103566007e-05"
"src037_tol1500um_h2000um_edge_nominal","37","0.0015","0.002","407216","814428","131286","226968","17.7958272907728","16.50995","66.0398","0.0194406489094335","0.01944043","0.01940187","-0.155227794632297","88.72875","45.25009285","160.9963","114.551893000001","0.8963364","0.1580456","31.34743","NO_POSITIVE_DAMPING_FOUND","20","30","150","-2.9120198e-07","1.15080792773358e-05","1.54317812398698e-06","0.00532272802604607","0.000910461779497598","3.82807966613434e-06"
"src037_tol1500um_h1800um_edge_fine","37","0.0015","0.0018","432510","865016","131294","227004","17.7988517526084","16.51014","66.04056","0.019440614171616","0.0194404","0.01940241","-0.154633141003549","78.58049","45.0105141250001","165.0163","114.44769275","0.8963367","0.1580456","31.34731","NO_POSITIVE_DAMPING_FOUND","20","30","150","-2.1370974e-07","0","0","0","0","0"
"src064_tol1000um_h2000um_tolerance_tight","64","0.001","0.002","431704","863404","117948","216360","18.2160612728683","23.99656","95.98624","0.0278908513001348","0.02789055","0.02782574","-0.191585972129064","125.9947","56.0367305500001","145.0949","95.6713640500007","0.9298475","0.1639544","26.6297","NO_POSITIVE_DAMPING_FOUND","20","30","150","-4.3147681e-06","0","0","0","0","0"
"src064_tol1500um_h2500um_edge_coarse","64","0.0015","0.0025","238082","476160","117954","216384","18.2204582027975","23.99371","95.97484","0.027889557554147","0.02788928","0.02783689","-0.191853583712512","97.15116","57.2218792250001","145.2603","95.7195086250005","0.9298463","0.1639542","26.63062","SIGNIFICANT_DESTABILIZING_DAMPING_CROSSING_FOUND","20","30","150","1.8983639e-06","0.00017084892329763","7.27825261703408e-05","0.063194039878302","0.00102588555166308","5.10716407441215e-05"
"src064_tol1500um_h2000um_edge_nominal","64","0.0015","0.002","409986","819968","117952","216384","18.204115139313","23.99743","95.98972","0.0278913139229585","0.02789101","0.02781448","-0.191652554665511","103.468","54.051336925","145.1502","95.3576308750002","0.9298479","0.1639545","26.62941","NO_POSITIVE_DAMPING_FOUND","20","30","150","-4.3188157e-06","1.5834778256842e-05","1.07560383502323e-05","0.00428472543080694","0.00275859893179419","5.63290155270656e-06"
"src064_tol1500um_h1800um_edge_fine","64","0.0015","0.0018","435950","871896","117956","216450","18.2211020419171","23.99781","95.99124","0.0278915960612916","0.02789131","0.0278147","-0.191767774285263","95.26245","53.820729875","145.1212","95.621412","0.9298479","0.1639545","26.62926","NO_POSITIVE_DAMPING_FOUND","20","30","150","-3.1997994e-06","0","0","0","0","0"
