"Label","SourceCase","GeometryToleranceM","MeshEdgeLengthM"
"src004_tol1500um_h2500um_edge_coarse","4","0.0015","0.0025"
"src004_tol1500um_h2000um_edge_nominal","4","0.0015","0.002"
"src004_tol1500um_h1800um_edge_fine","4","0.0015","0.0018"
"src037_tol1500um_h2500um_edge_coarse","37","0.0015","0.0025"
"src037_tol1500um_h2000um_edge_nominal","37","0.0015","0.002"
"src037_tol1500um_h1800um_edge_fine","37","0.0015","0.0018"
"src064_tol1000um_h2000um_tolerance_tight","64","0.001","0.002"
"src064_tol1500um_h2500um_edge_coarse","64","0.0015","0.0025"
"src064_tol1500um_h2000um_edge_nominal","64","0.0015","0.002"
"src064_tol1500um_h1800um_edge_fine","64","0.0015","0.0018"
"src064_tol2000um_h2000um_tolerance_reference","64","0.002","0.002"
"src065_tol1500um_h2500um_edge_coarse","65","0.0015","0.0025"
"src065_tol1500um_h2000um_edge_nominal","65","0.0015","0.002"
"src065_tol1500um_h1800um_edge_fine","65","0.0015","0.0018"
"src099_tol1500um_h2500um_edge_coarse","99","0.0015","0.0025"
"src099_tol1500um_h2000um_edge_nominal","99","0.0015","0.002"
"src099_tol1500um_h1800um_edge_fine","99","0.0015","0.0018"
