"Case","Source","AR","lambda","r1","r2","HalfWingMass","WingMassTotal","CDitrim","Ctrim","Feasible","FailureReason","SimulationFailed","SkinStressMPa","LatticeStressMPa","StressLimitMPa","GoverningStressMPa","GoverningStressComponent","GoverningStressUtilization","StressMarginMPa","FlutterOK","PositiveDampingCount","MaxFlutterDamping","Pareto","CandidateSource","PredictedPoF","SampledHVI","SelectedAF","PrimaryAF","ChallengerAF","SeedBestAF","GABestAF","GAGain","FallbackUsed"
"1","corner","6.0","0.2","0.05","0.15","17.90977616497684","35.81955232995368","0.010537843603557452","10.953141766601407","True","feasible","False","82.10474","200.5154","220.0","200.5154","lattice","0.9114336363636364","19.4846","True","0","-8.0140718e-07","True","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"2","corner","6.0","0.2","0.05","0.5","18.293550472817515","36.58710094563503","0.010566434068262815","10.80771945298735","True","feasible","False","82.69207","153.3227","220.0","153.3227","lattice","0.6969213636363636","66.6773","True","0","-2.351221e-06","True","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"3","corner","6.0","0.2","0.4","0.15","45.67116154099646","91.34232308199292","0.012580989612239302","9.769402147107584","True","feasible","False","72.7921","35.7529","220.0","72.7921","skin","0.3308731818181818","147.2079","True","0","-5.9863193e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"4","corner","6.0","0.2","0.4","0.5","52.69296792924804","105.38593585849608","0.013097431856977027","9.3272810223876","True","feasible","False","71.86768","30.82933","220.0","71.86768","skin","0.3266712727272727","148.13232","True","0","-5.5916975e-06","True","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"5","corner","6.0","0.8","0.05","0.15","17.15767388134807","34.31534776269614","0.010687584353453305","30.25066730678607","False","lattice stress","False","199.1739","364.0662","220.0","364.0662","lattice","1.6548463636363635","-144.06619999999998","True","0","-2.0350768e-08","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"6","corner","6.0","0.8","0.05","0.5","17.49744394448016","34.99488788896032","0.010712620946390243","29.87650941757736","False","lattice stress","False","200.0283","365.4768","220.0","365.4768","lattice","1.661258181818182","-145.47680000000003","True","0","-8.6097669e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"7","corner","6.0","0.8","0.4","0.15","33.64339484095735","67.2867896819147","0.011905061419245216","26.94741692712225","True","feasible","False","199.2586","82.09908","220.0","199.2586","skin","0.9057209090909091","20.7414","True","0","-7.7816233e-07","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"8","corner","6.0","0.8","0.4","0.5","40.30981277696539","80.61962555393077","0.012397069079397381","25.884065670867656","True","feasible","False","196.2906","80.97618","220.0","196.2906","skin","0.8922300000000001","23.709399999999988","True","0","-9.584836e-07","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"9","corner","12.0","0.2","0.05","0.15","17.203831893504493","34.407663787008985","0.005399311787796914","79.82404880112628","False","skin+lattice stress","False","249.477","456.7302","220.0","456.7302","lattice","2.076046363636364","-236.73020000000002","True","0","-5.53448e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"10","corner","12.0","0.2","0.05","0.5","17.489246695203267","34.978493390406534","0.005407695751789858","79.51250922357943","False","skin+lattice stress","False","249.8091","459.0131","220.0","459.0131","lattice","2.0864231818181818","-239.0131","True","0","-1.8316834e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"11","corner","12.0","0.2","0.4","0.15","36.951360838194006","73.90272167638801","0.005981173409376953","77.3272538872847","False","skin stress","False","272.5319","110.9707","220.0","272.5319","skin","1.2387813636363636","-52.53190000000001","True","0","-2.9955147e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"12","corner","12.0","0.2","0.4","0.5","42.290603136063964","84.58120627212793","0.006138873068373683","74.56078913576043","False","skin stress","False","269.8911","110.041","220.0","269.8911","skin","1.2267777272727272","-49.891099999999994","True","0","-1.0444964e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"13","corner","12.0","0.8","0.05","0.15","16.72516092097737","33.45032184195474","0.005602894012336751","246.23466447719449","False","skin+lattice stress","False","668.6045","1355.643","220.0","1355.643","lattice","6.162013636363636","-1135.643","True","0","-1.1108115e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"14","corner","12.0","0.8","0.05","0.5","16.978648631294096","33.95729726258819","0.005611556435273702","245.24499367835745","False","skin+lattice stress","False","669.7816","1359.029","220.0","1359.029","lattice","6.177404545454546","-1139.029","True","0","-2.5450519e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"15","corner","12.0","0.8","0.4","0.15","29.768726409642788","59.537452819285576","0.006017925290249504","235.2773319490137","False","skin stress","False","760.337","194.0865","220.0","760.337","skin","3.456077272727273","-540.337","True","0","-1.2756913e-06","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"16","corner","12.0","0.8","0.4","0.5","35.13073300292608","70.26146600585216","0.006183431517330535","226.55251024887647","False","skin stress","False","752.8609","191.5655","220.0","752.8609","skin","3.422095","-532.8609","True","0","-1.9954977e-07","False","corner","nan","nan","nan","nan","nan","nan","nan","nan","False"
"17","LHS","10.4034424606333","0.223869741267448","0.222178367932089","0.191861400637229","27.80138834302319","55.60277668604638","0.006491923469849513","51.654576136822094","True","feasible","False","181.9919","119.5824","220.0","181.9919","skin","0.827235909090909","38.00810000000001","True","0","-4.0184904e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"18","LHS","8.2322701288741","0.287900190134212","0.276083285414566","0.354585811640608","33.94278200189977","67.88556400379954","0.008398115763181184","28.870197030915154","True","feasible","False","179.2069","75.31691","220.0","179.2069","skin","0.8145768181818182","40.79310000000001","True","0","-2.2295276e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"19","LHS","11.702297809981","0.598728696447524","0.100426785705812","0.375871144514997","19.032436799003055","38.06487359800611","0.005639011997447122","161.31436486347476","False","skin+lattice stress","False","475.6133","396.4391","220.0","475.6133","skin","2.161878636363636","-255.61329999999998","True","0","-5.3628934e-07","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"20","LHS","6.45194918476187","0.439719649267973","0.307227122468246","0.447654237101457","37.44077590583184","74.88155181166368","0.011037470963872123","18.328044928502756","True","feasible","False","141.4394","58.94072","220.0","141.4394","skin","0.6429063636363637","78.5606","True","0","-5.8936649e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"21","LHS","8.11800072577512","0.698603634557141","0.254397545382508","0.308361056454605","27.52341793910734","55.04683587821468","0.008371737952263739","56.781775950946944","False","skin stress","False","305.9891","122.0335","220.0","305.9891","skin","1.3908595454545456","-85.98910000000001","True","0","-2.3895554e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"22","LHS","9.33172562503914","0.553176127046963","0.358051171454899","0.268920491146494","32.830896645358884","65.66179329071777","0.007400672057622367","72.01102580718451","False","skin stress","False","292.4042","89.29242","220.0","292.4042","skin","1.32911","-72.4042","True","0","-8.1014513e-07","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"23","LHS","11.1406833735304","0.719603002448294","0.0870488150988581","0.153889485873834","17.910107011022436","35.82021402204487","0.005953751001224691","168.96667704899534","False","skin+lattice stress","False","457.5898","580.7058","220.0","580.7058","lattice","2.639571818181818","-360.70579999999995","True","0","-5.5383135e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"24","LHS","7.19802383255301","0.384802222815527","0.188405479604342","0.207919988971845","25.865581081200276","51.73116216240055","0.009120755589745979","24.22707213202258","True","feasible","False","131.1222","72.32082","220.0","131.1222","skin","0.5960099999999999","88.87780000000001","True","0","-1.2861918e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"25","LHS","10.0490423099991","0.370645763662115","0.24618765591677","0.489226879454241","30.537017349872244","61.07403469974449","0.006747912181641475","62.484700128705114","False","skin stress","False","323.4931","139.3945","220.0","323.4931","skin","1.4704231818181819","-103.49310000000003","True","0","-2.9445005e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"26","LHS","8.61850710412118","0.758448562282204","0.396221457689289","0.419353164429923","35.91733710554088","71.83467421108176","0.008417454560047897","76.49191829659222","False","skin stress","False","597.633","104.8278","220.0","597.633","skin","2.7165136363636364","-377.63300000000004","True","0","-9.3205685e-07","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"27","LHS","6.08453052748098","0.508808289578874","0.0591278928737032","0.280668870100464","17.94460092106827","35.88920184213654","0.010334424614667267","19.962422539631817","False","lattice stress","False","124.5132","233.8895","220.0","233.8895","lattice","1.063134090909091","-13.889499999999998","True","0","-1.0130098e-05","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"28","LHS","9.54355370933676","0.483955615400611","0.158296695393669","0.24499033816448","22.420520469230073","44.84104093846015","0.006827757102993304","68.17770853981266","False","skin stress","False","304.2184","165.898","220.0","304.2184","skin","1.3828109090909089","-84.21839999999997","True","0","-2.6105301e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"29","LHS","7.3875151590941","0.643415498457337","0.14398682396387","0.455549947458037","22.86209565422719","45.72419130845438","0.008860480255377404","40.01009119551488","False","skin stress","False","222.8989","122.6621","220.0","222.8989","skin","1.0131768181818182","-2.8988999999999976","True","0","-5.3010211e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"30","LHS","11.1915732821967","0.285575835630773","0.334613155935868","0.332513759633173","34.71092803129178","69.42185606258356","0.006244878642218439","74.86449269182644","False","skin stress","False","292.8879","117.7375","220.0","292.8879","skin","1.3313086363636364","-72.8879","True","0","-2.5987519e-06","False","LHS","nan","nan","nan","nan","nan","nan","nan","nan","False"
"31","adaptive","7.099406279890274","0.20003434233206205","0.09813313526134776","0.4999993667104473","21.736858125954665","43.47371625190933","0.009090738544499733","16.237341487971495","True","feasible","False","93.71924","78.02538","220.0","93.71924","skin","0.42599654545454546","126.28076","True","0","-1.1397674e-06","True","primary","1.0","0.851611158254926","0.8551158132936032","0.8551158132936032","0.6479084575150448","0.6892876043659347","0.8551158132936032","0.16582820892766847","False"
"32","adaptive","6.693470042627528","0.2696518311725999","0.05003031982292529","0.45760668429687323","17.987706163442912","35.975412326885824","0.009329892202867847","16.953692042980123","False","lattice stress","False","152.0994","223.4442","220.0","223.4442","lattice","1.0156554545454546","-3.444199999999995","True","0","-2.2381443e-06","False","primary","1.0","0.6554267707673013","0.6595581647340786","0.6595581647340786","0.4058864313664258","0.553663017579772","0.6595581647340786","0.10589514715430659","False"
"33","adaptive","9.227112116310336","0.20003164962270606","0.11238580820478711","0.15000287991556377","20.903179910538427","41.80635982107685","0.007026015592198088","34.99591902020095","True","feasible","False","159.734","122.4813","220.0","159.734","skin","0.7260636363636364","60.26599999999999","True","0","-1.5949339e-06","True","primary","1.0","0.1847013711731928","0.1856417257715082","0.1856417257715082","0.09039768253703825","0.16424168065663586","0.1856417257715082","0.02140004511487234","False"
"34","adaptive","8.591540102784826","0.2000160410573461","0.2056645567601489","0.4006005594783396","29.57265419593644","59.14530839187288","0.00787853358965881","27.13951882212881","True","feasible","False","125.4627","83.3782","220.0","125.4627","skin","0.570285","94.5373","True","0","-1.1346472e-06","False","primary","1.0","0.06609993945780601","0.06680326707412713","0.06680326707412713","0.04649846872407163","0.047482204940337794","0.06680326707412713","0.01932106213378934","False"
"35","adaptive","7.773534050815053","0.20000505688264122","0.3999999818184432","0.1500333615206004","42.11528014005816","84.23056028011632","0.009500874773356094","20.568302774727687","True","feasible","False","200.4366","50.85283","220.0","200.4366","skin","0.9110754545454546","19.5634","True","0","-6.0585999e-06","False","primary","1.0","0.23179576015412595","0.232407554153702","0.232407554153702","0.05560566322915512","0.05847330285537803","0.232407554153702","0.173934251298324","False"
"36","adaptive","6.367254858068035","0.20003549398402845","0.12096257177722089","0.313567199534024","23.454452515831033","46.908905031662066","0.010299051132739215","11.910053368458218","True","feasible","False","79.05787","97.09933","220.0","97.09933","lattice","0.4413605909090909","122.90067","True","0","-1.7743729e-05","True","primary","1.0","0.06841225019484236","0.06876800836069334","0.06876800836069334","0.012182842363334098","0.044794359797502126","0.06876800836069334","0.023973648563191216","False"
"37","adaptive","6.6867697591199855","0.2000609402952201","0.050016507764657894","0.1500014908700283","17.81150505831616","35.62301011663232","0.009408487020013451","14.658171321975804","True","feasible","False","99.78529","193.8781","220.0","193.8781","lattice","0.8812640909090909","26.12190000000001","True","0","-2.9661421e-07","True","primary","1.0","0.2063778006782614","0.20729786828720234","0.20729786828720234","0.06119214026916484","0.08577851388099397","0.20729786828720234","0.12151935440620837","False"
"38","adaptive","8.090467240031042","0.20004867711682625","0.05204354267630477","0.2053616273241588","17.706064502672678","35.412129005345356","0.007792999901031286","24.633990631193626","False","lattice stress","False","126.4026","224.9716","220.0","224.9716","lattice","1.0225981818181817","-4.971599999999995","True","0","-4.455446e-05","False","primary","1.0","0.07734555645129228","0.07772804069426192","0.07772804069426192","0.048585467147897826","0.04213017225411959","0.07772804069426192","0.03559786844014234","False"
"39","adaptive","6.000706860318749","0.2309047906499493","0.16707981182730064","0.46428263128932556","28.682806700179224","57.36561340035845","0.011283030458540674","10.465443060155561","True","feasible","False","91.14865","50.19343","220.0","91.14865","skin","0.4143120454545455","128.85135","True","0","-1.9550214e-06","False","primary","1.0","0.058409073140891284","0.05891085345536016","0.05891085345536016","0.02447719921879608","0.04434133874522713","0.05891085345536016","0.014569514710133027","False"
"40","adaptive","6.0002968243986725","0.3103016736286488","0.05139864871237341","0.1500315355073877","17.786209922177665","35.57241984435533","0.01042477015661332","13.753412501837186","False","lattice stress","False","98.61182","263.5624","220.0","263.5624","lattice","1.1980109090909092","-43.562400000000025","True","0","-9.7232472e-07","False","primary","0.9999759246607578","0.10505450852266673","0.10565468066645521","0.10565468066645521","0.08367676148121667","0.05841578552525004","0.10565468066645531","0.047238895141205266","False"
"41","adaptive","7.354405424392972","0.20000414343539902","0.11638338960424995","0.31406782851252574","22.471239784710157","44.942479569420314","0.008808344359736415","17.871041504122502","True","feasible","False","105.2993","83.22284","220.0","105.2993","skin","0.4786331818181818","114.7007","True","0","-3.0165947e-06","True","primary","0.8477881767095092","0.026954734869769414","0.023180173881403945","0.023180173881403945","0.01585637914748088","0.015096468650750587","0.023180173881403945","0.008083705230653358","False"
"42","adaptive","7.5303334213177076","0.2000205177478771","0.2546591747489949","0.3009739089502312","33.89150488223832","67.78300976447665","0.009302315141017276","18.756880813362013","True","feasible","False","98.46661","61.31806","220.0","98.46661","skin","0.4475755","121.53339","True","0","-1.0949862e-06","False","primary","1.0","0.3991465525179241","0.40079588878425826","0.40079588878425826","0.2748234702368594","0.25860376125170115","0.40079588878425826","0.1421921275325571","False"
"43","adaptive","6.4556857537748495","0.20003371136119566","0.34990261197402667","0.39967583438119153","45.25454739695441","90.50909479390882","0.011673376630335085","11.85542187781331","True","feasible","False","78.9683","39.97559","220.0","78.9683","skin","0.3589468181818182","141.0317","True","0","-5.1951078e-06","False","primary","1.0","0.044250887225723956","0.04496355634026283","0.04496355634026283","0.021515454516023956","0.027066406381954688","0.04496355634026283","0.01789714995830814","False"
"44","adaptive","6.000451487959774","0.20002505485513875","0.10127364790352067","0.37113721662597154","22.083402113343404","44.16680422668681","0.010844408176511593","10.17140774745195","True","feasible","False","74.22222","59.70785","220.0","74.22222","skin","0.33737372727272724","145.77778","True","0","-2.4242902e-05","True","primary","0.9133046293415203","0.06670178291735541","0.06131735415068017","0.06131735415068017","0.02295396414471822","0.033996669746108515","0.06131735415068018","0.027320684404571666","False"
"45","adaptive","9.941581125989316","0.2000102352784432","0.14153115347177017","0.21057188863336335","22.80988284034317","45.61976568068634","0.006625327152023833","43.35315034158861","True","feasible","False","177.4583","106.493","220.0","177.4583","skin","0.8066286363636364","42.54169999999999","True","0","-3.7160441e-06","True","primary","1.0","0.02528681434508705","0.02563793007492672","0.02563793007492672","0.012419413981587987","0.01978240019416118","0.02563793007492672","0.005855529880765542","False"
"46","adaptive","7.803118322193932","0.20002799260958298","0.09355090056759693","0.15000484701899172","20.09118300883317","40.18236601766634","0.008152293002020895","21.378306821489755","True","feasible","False","129.8451","141.6382","220.0","141.6382","lattice","0.6438100000000001","78.36179999999999","True","0","-5.1455039e-06","True","primary","1.0","0.02248359609901096","0.02273714728875225","0.02273714728875225","0.016235735587015975","0.014803470571507034","0.02273714728875225","0.007933676717245217","False"
