Case,Source,AR,lambda,r1,r2,HalfWingMass,WingMassTotal,CDitrim,Ctrim
99,adaptive,10.872100508239818,0.20006706595792395,0.10420093658526437,0.2527922991074786,20.272505259151664,40.54501051830333,0.006018267636853877,57.59844160185831
65,adaptive,10.632015193320802,0.20001983614738497,0.0818403779676036,0.4999990841025972,18.96483222593448,37.92966445186896,0.006101881485528542,53.9161801689085
53,adaptive,10.579905329405042,0.20000925596265368,0.13407417242828018,0.15000015457573584,21.897779434274057,43.79555886854811,0.006225369955525823,52.606014232006274
96,adaptive,10.379207014449223,0.20001107910687427,0.10765451044536672,0.1537917447193234,20.33258725083083,40.66517450166166,0.006284890889037098,50.093422045081
48,adaptive,10.241174078409239,0.20000000201201404,0.09643039223604488,0.4999999793825224,20.584139449339318,41.168278898678636,0.006371858610481518,47.86505096827993
78,adaptive,10.014316347316496,0.20013365810608166,0.12255830234779738,0.20523510756985003,21.490036916479575,42.98007383295915,0.0065357602612141266,44.63593547723604
45,adaptive,9.941581125989316,0.2000102352784432,0.14153115347177017,0.21057188863336335,22.80988284034317,45.61976568068634,0.006625327152023833,43.35315034158861
85,adaptive,9.707691857767518,0.2000249596356057,0.09117520643223884,0.15125758326807207,19.491458740791177,38.982917481582355,0.006656152109596901,41.216412864120194
54,adaptive,9.526505310647748,0.2000103644213879,0.09484092850513123,0.15001570500820569,19.742964081284608,39.485928162569216,0.006781671409010044,38.85788975210871
97,adaptive,9.266530784369241,0.20004483406902918,0.08491852721735998,0.1502349601433153,19.233064796295558,38.466129592591116,0.006938009341695178,35.94946282130012
33,adaptive,9.227112116310336,0.20003164962270606,0.11238580820478711,0.15000287991556377,20.903179910538427,41.80635982107685,0.007026015592198088,34.99591902020095
90,adaptive,9.056758259550174,0.2000029562250257,0.09691005489917849,0.1500103857966328,19.949890397858994,39.89978079571799,0.007111970797980999,33.3010887974328
57,adaptive,8.810154323572622,0.2000318164146102,0.063483676725973,0.49999999709198384,18.56585906965354,37.13171813930708,0.007242057619814661,31.12235861809581
47,adaptive,8.509716665006952,0.2000024012426473,0.07666457310726787,0.4999999971364618,19.550218840952205,39.10043768190441,0.007513806013377668,27.68377688775663
72,adaptive,8.32162229352483,0.20000474469389481,0.09764147370188418,0.1500343609360151,20.241614784551206,40.48322956910241,0.007695617507832947,25.767982315992363
56,adaptive,8.01423296221865,0.20016145251409023,0.05803755005186182,0.4999999964320062,18.39185010796494,36.78370021592988,0.007888266461714491,23.579519912754563
93,adaptive,7.840386240712551,0.20006451053732138,0.05794014865954038,0.1500346269804008,18.003378621780506,36.00675724356101,0.00803085237603759,22.296046720874884
46,adaptive,7.803118322193932,0.20002799260958298,0.09355090056759693,0.15000484701899172,20.09118300883317,40.18236601766634,0.008152293002020895,21.378306821489755
