case,period,AR,taper_ratio,CDitrim,Ctrim_Nm,constraint,feasible,final_pareto,selection_source,modeled_half_wing_mass_kg,max_screening_stress_mpa,max_shell_vm_mpa,max_cbeam_normal_stress_mpa
1,initial campaign,6.374627794028901,0.6790085785774342,0.010173564294354415,28.030195193880836,-1.0,True,False,,20.578413365337646,180.66,175.4325,180.66
2,initial campaign,7.109931612796882,0.29593326290129224,0.00896990593626184,19.98238694832435,-1.0,True,False,,21.568108197642633,137.4168,121.1572,137.4168
3,initial campaign,8.784434663645104,0.5874555286724932,0.0073349392477224775,63.75945764980041,1.0,False,False,,20.080262265958076,292.7663,284.6773,292.7663
4,initial campaign,11.066747986472187,0.4737287796841998,0.005876889012079487,108.57810299812132,1.0,False,False,,19.840968623868616,401.1218,333.6287,401.1218
5,initial campaign,9.781649422996779,0.5121904598455465,0.006607496543143683,78.94356291447129,1.0,False,False,,19.99406404987036,323.4258,288.5572,323.4258
6,initial campaign,11.875354527384792,0.768360116090147,0.005710421094227637,219.43402559637826,1.0,False,False,,19.132300929872684,620.0922,620.0922,533.4388
7,initial campaign,9.169541766359433,0.34239140175570126,0.006979797566642309,47.07097591341514,-1.0,True,False,,20.65788946488771,218.8129,218.8129,154.7303
8,initial campaign,10.79960601173713,0.7295084560133365,0.006179675406023968,152.69863884876045,1.0,False,False,,19.377287305677896,493.2952,493.2952,444.8352
9,initial campaign,7.80254120831389,0.22851096411041633,0.008187428570860349,22.489858545141818,-1.0,True,True,,21.626413127305202,134.7347,126.1507,134.7347
10,initial campaign,7.45751427255456,0.4246250032890572,0.00849160728872153,29.29784913747672,-1.0,True,False,,20.880986455885495,177.1662,177.1662,157.8695
11,initial campaign,8.952225325262141,0.2988466089643976,0.007152129171993923,39.893794001608924,-1.0,True,False,,20.918668735372997,181.6685,181.6685,176.5992
12,initial campaign,8.640817521676704,0.2259416744733639,0.0074496134017680085,30.332871209331145,1.0,False,False,,21.354001694512732,183.2433,183.2433,129.8831
13,initial campaign,10.838415953492358,0.2905050993991618,0.005977686521992737,70.49505995542586,1.0,False,False,,20.43868120741951,256.2689,252.7116,256.2689
