"case_id","a_m","t1_over_a","mass_kg","compliance_Nm","constraint","feasible","pareto_case071","evaluation_period","evidence_role"
"1","0.0144974658813887","0.160574896040572","38.7206092950201","52.9551960274814","1","0","0","initial_training","conditioning_only"
"2","0.0134898097690815","0.356100123735996","49.6852742099205","47.810674604504","-1","1","0","initial_training","conditioning_only"
"3","0.0269880858966697","0.301500031087591","47.0974119843595","52.9471292391916","1","0","0","initial_training","conditioning_only"
"4","0.0286018465546866","0.111476626094625","35.9743473427966","54.4858565801134","1","0","0","initial_training","conditioning_only"
"5","0.0102181934949284","0.052475773188447","33.3598368799044","55.6004812278848","1","0","0","initial_training","conditioning_only"
"6","0.0180814171495891","0.247750568190532","43.5183408192114","50.9819255399067","1","0","0","initial_training","conditioning_only"
"7","0.0169055689400724","0.393119166234908","51.6611683223044","47.5958396492726","-1","1","0","initial_training","conditioning_only"
"8","0.0217227511143426","0.216212064970839","41.8678309770366","51.7142740351238","1","0","0","initial_training","conditioning_only"
"9","0.0237014119888819","0.273438436334868","45.2849913445688","50.6180234640983","1","0","0","initial_training","conditioning_only"
"10","0.0254849834917525","0.138434890288404","37.4011050194996","53.8008689759118","1","0","0","initial_training","conditioning_only"
"11","0.0143568448363201","0.320109765075422","47.740336786599","48.6944230226063","1","0","0","initial_training","conditioning_only"
"12","0.0169993559061219","0.319128630226497","47.5891122933085","49.441246078214","-1","1","0","initial_training","conditioning_only"
"13","0.0182446244068989","0.385892220150707","51.3420532884929","47.6134584333914","-1","1","0","initial_training","conditioning_only"
"14","0.0197316177765475","0.396578961270396","51.9416082800727","47.8579419797128","1","0","0","initial_training","conditioning_only"
"15","0.01","0.199574946006761","40.9098940663725","52.4379850338054","1","0","0","initial_training","conditioning_only"
"16","0.0172481154103206","0.333851447516669","48.50811615832","49.1165747802587","-1","1","0","initial_training","conditioning_only"
"17","0.0134965291130959","0.356358415307149","49.6649251930268","47.801491011818","-1","1","0","initial_training","conditioning_only"
"18","0.014717638477673","0.353217062408807","49.4423868414246","48.0560826278983","-1","1","0","initial_training","conditioning_only"
"19","0.029255352435985","0.210191650390625","41.6121819668043","53.414773190023","1","0","0","initial_training","conditioning_only"
"20","0.0158411100125941","0.333126898147301","48.3507521381993","48.8519520331376","-1","1","0","initial_training","conditioning_only"
"21","0.0274833232164383","0.05","33.272605401407","55.6397403696696","1","0","0","initial_training","conditioning_only"
"22","0.0165341129599592","0.339735949162589","48.6822989548706","49.0261234231114","-1","1","0","initial_training","conditioning_only"
"23","0.0177123669710018","0.378718844003091","50.9384200498377","47.8897220079361","-1","1","0","initial_training","conditioning_only"
"24","0.0162353686036059","0.321442719000876","47.7085180751859","49.1929950359143","-1","1","0","initial_training","conditioning_only"
"25","0.03","0.05","33.2641016232223","55.60588123664","1","0","0","initial_training","conditioning_only"
"26","0.03","0.137939366698265","37.3702320175345","54.0177566663989","1","0","0","initial_training","conditioning_only"
"27","0.0257352991104126","0.05","33.2828161819403","55.6702828249641","1","0","0","initial_training","conditioning_only"
"28","0.01306591796875","0.05","33.2661490997541","55.6732102686158","1","0","0","initial_training","conditioning_only"
"29","0.03","0.0910931739211082","34.9563721242426","54.968588970478","1","0","0","initial_training","conditioning_only"
"30","0.0233911026230431","0.05","33.2670695536907","55.6432555192181","1","0","0","initial_training","conditioning_only"
"31","0.0209050435423851","0.05","33.2802775556769","55.6248052180832","1","0","0","initial_training","conditioning_only"
"32","0.0239597498774528","0.0854742525517941","34.6521779400053","55.1621771346235","1","0","0","initial_training","conditioning_only"
"33","0.0167677407264709","0.394369032084942","51.6713850952691","47.6476637543371","-1","1","0","initial_training","conditioning_only"
"34","0.0265413480401039","0.0891389663517475","34.8548107497012","55.0035093852755","1","0","0","initial_training","conditioning_only"
"35","0.0135738573074341","0.341924298703671","48.9507716742628","48.1885253876614","-1","1","0","initial_training","conditioning_only"
"36","0.0188733303546905","0.05","33.2701726447302","55.6153816343292","1","0","0","initial_training","conditioning_only"
"37","0.0170304543972015","0.05","33.2961917043165","55.5909296761633","1","0","0","initial_training","conditioning_only"
"38","0.021720431625843","0.084474610388279","34.6194815430313","55.1007637349702","1","0","0","initial_training","conditioning_only"
"39","0.0162344345450401","0.399211002886295","51.8207172732783","47.6060616762147","-1","1","0","initial_training","conditioning_only"
"40","0.0158119426369667","0.4","51.8473544265577","47.8838778742292","-1","1","0","initial_training","conditioning_only"
"41","0.0283979559540749","0.0731423802673817","34.1420035486061","55.2817910326669","1","0","0","initial_training","conditioning_only"
"42","0.01516455078125","0.399999996195849","51.7797061318993","47.7674677459813","-1","1","0","initial_training","conditioning_only"
"43","0.014623046875","0.398246999336948","51.709987427689","47.4540910232502","-1","1","0","initial_training","conditioning_only"
"44","0.0201739885807037","0.187141723632813","40.0154800290509","52.7106475854496","1","0","0","initial_training","conditioning_only"
"45","0.0232998616695404","0.18864881336689","40.2881045010639","52.3202293931046","1","0","0","initial_training","conditioning_only"
"46","0.0255112929940224","0.188843466937542","40.3305607802279","52.490556957759","1","0","0","initial_training","conditioning_only"
"47","0.0225932103395462","0.15526501044631","38.2826341940944","53.4526273295994","1","0","0","initial_training","conditioning_only"
"48","0.0139726045131683","0.22099600315094","42.1706224506844","51.1645787877841","1","0","0","initial_training","conditioning_only"
"49","0.0182429592013359","0.1956041200459","40.5575244838982","52.1967249920531","1","0","0","initial_training","conditioning_only"
"50","0.0140776150822639","0.4","51.8603763551068","47.1619867463377","-1","1","0","initial_training","conditioning_only"
"51","0.0183912137746811","0.160960629582405","38.6341879089556","53.1483032365086","1","0","0","initial_training","conditioning_only"
"52","0.0131965443709781","0.380132370667045","50.905800599226","47.2584927532989","-1","1","0","revised_continuation","revised_solver_assessment"
"53","0.0195307781304313","0.304621246052084","46.9243652695633","49.3768631542113","-1","1","1","revised_continuation","revised_solver_assessment"
"54","0.0128746767502831","0.394643563238568","51.6476906324464","46.9816678164466","-1","1","0","revised_continuation","revised_solver_assessment"
"55","0.0209980813097381","0.308249088163796","47.2731854278472","49.3641165584106","1","0","0","revised_continuation","revised_solver_assessment"
"56","0.0133998667596181","0.332019364984926","48.3729142959604","48.4652117709337","-1","1","0","revised_continuation","revised_solver_assessment"
"57","0.0120230515668243","0.314920698878977","47.6915412128416","48.3053232446854","1","0","0","revised_continuation","revised_solver_assessment"
"58","0.0114612722532381","0.364285161863819","50.2678649796088","47.1290775746057","1","0","0","revised_continuation","revised_solver_assessment"
"59","0.0122623275186333","0.343765120830545","49.1947143350473","47.8590915946125","-1","1","0","revised_continuation","revised_solver_assessment"
"60","0.01201903569299","0.346311711006946","49.299716432771","47.7384610327339","-1","1","0","revised_continuation","revised_solver_assessment"
"61","0.0109670118733166","0.341781973771806","49.1933474612197","47.4310685282768","-1","1","1","revised_continuation","revised_solver_assessment"
"62","0.0112186335659903","0.330541341456345","48.6127669280889","47.7602443267558","-1","1","1","revised_continuation","revised_solver_assessment"
"63","0.01063931735362","0.318603960202518","48.0044020501626","48.0963241922147","-1","1","1","revised_continuation","revised_solver_assessment"
"64","0.0102404942572175","0.306585451916574","47.3188809294842","48.6835996684145","1","0","0","revised_continuation","revised_solver_assessment"
"65","0.0108701173244356","0.312409058925848","47.6907098697701","48.2605862819982","-1","1","1","revised_continuation","revised_solver_assessment"
"66","0.0111874602652597","0.307477939280578","47.3751305989746","48.3558628977487","1","0","0","revised_continuation","revised_solver_assessment"
"67","0.0100517603547353","0.344887666131409","49.3831493278451","47.506691374188","-1","1","0","revised_continuation","revised_solver_assessment"
"68","0.0107066904442946","0.352291990459171","49.8892485132927","47.188697082679","-1","1","1","revised_continuation","revised_solver_assessment"
"69","0.0105726951628508","0.358510891070454","50.2079321506638","47.019056863153","-1","1","1","revised_continuation","revised_solver_assessment"
"70","0.0103935730315518","0.384674068230375","51.5064543692796","46.3682378027884","-1","1","1","revised_continuation","revised_solver_assessment"
"71","0.0102783064859484","0.370839006547325","50.7990586004611","46.7141034348415","1","0","0","revised_continuation","revised_solver_assessment"
