ChangedInput,LowCase,HighCase,LowInput,HighInput,LowFeasible,HighFeasible,Fixed_AR,Fixed_TaperRatio,Fixed_RootRatio,Fixed_TipRootRatio,Low_WingMassTotal_kg,High_WingMassTotal_kg,Ratio_WingMassTotal_kg,Change_pct_WingMassTotal_kg,Low_CDitrim,High_CDitrim,Ratio_CDitrim,Change_pct_CDitrim,Low_Ctrim_Nm,High_Ctrim_Nm,Ratio_Ctrim_Nm,Change_pct_Ctrim_Nm,Low_ScreenUtilization,High_ScreenUtilization,Ratio_ScreenUtilization,Change_pct_ScreenUtilization
AR,1,9,6.0,12.0,True,False,varied,0.2,0.05,0.15,35.81955232995368,34.407663787008985,0.9605833001501802,-3.941669984981977,0.010537843603557452,0.005399311787796914,0.5123734979302758,-48.762650206972424,10.953141766601407,79.82404880112628,7.287776466522853,628.7776466522853,0.9114336363636364,2.076046363636364,2.277781157955948,127.7781157955948
AR,2,10,6.0,12.0,True,False,varied,0.2,0.05,0.5,36.58710094563503,34.978493390406534,0.956033478639952,-4.396652136004797,0.010566434068262815,0.005407695751789858,0.5117805796027567,-48.821942039724334,10.80771945298735,79.51250922357943,7.357010844836601,635.7010844836601,0.6969213636363636,2.0864231818181818,2.9937713071841285,199.37713071841284
AR,3,11,6.0,12.0,True,False,varied,0.2,0.4,0.15,91.34232308199292,73.90272167638801,0.8090742514841631,-19.092574851583688,0.012580989612239302,0.005981173409376953,0.47541358777994874,-52.45864122200512,9.769402147107584,77.3272538872847,7.915249338996541,691.5249338996541,0.3308731818181818,1.2387813636363636,3.7439763380916333,274.3976338091633
AR,4,12,6.0,12.0,True,False,varied,0.2,0.4,0.5,105.38593585849608,84.58120627212793,0.8025853315540785,-19.741466844592146,0.013097431856977027,0.006138873068373683,0.4687081509878972,-53.12918490121028,9.3272810223876,74.56078913576043,7.993839679194563,699.3839679194563,0.3266712727272727,1.2267777272727272,3.755389070580823,275.5389070580823
AR,5,13,6.0,12.0,False,False,varied,0.8,0.05,0.15,34.31534776269614,33.45032184195474,0.974791864948495,-2.5208135051504987,0.010687584353453305,0.005602894012336751,0.5242432552615484,-47.57567447384516,30.25066730678607,246.23466447719449,8.139809346353069,713.9809346353069,1.6548463636363635,6.162013636363636,3.7236167488220553,272.36167488220553
AR,6,14,6.0,12.0,False,False,varied,0.8,0.05,0.5,34.99488788896032,33.95729726258819,0.9703502228764261,-2.964977712357386,0.010712620946390243,0.005611556435273702,0.5238266586072561,-47.61733413927439,29.87650941757736,245.24499367835745,8.208622709253696,720.8622709253696,1.661258181818182,6.177404545454546,3.718509629065374,271.8509629065374
AR,7,15,6.0,12.0,True,False,varied,0.8,0.4,0.15,67.2867896819147,59.537452819285576,0.8848312291422639,-11.516877085773613,0.011905061419245216,0.006017925290249504,0.5054930065729171,-49.45069934270829,26.94741692712225,235.2773319490137,8.730979024271893,773.0979024271893,0.9057209090909091,3.456077272727273,3.8158302828585566,281.5830282858557
AR,8,16,6.0,12.0,True,False,varied,0.8,0.4,0.5,80.61962555393077,70.26146600585216,0.8715181387049548,-12.848186129504525,0.012397069079397381,0.006183431517330535,0.4987817263684321,-50.12182736315679,25.884065670867656,226.55251024887647,8.75258597817034,775.2585978170339,0.8922300000000001,3.422095,3.8354404133463342,283.54404133463345
TaperRatio,1,5,0.2,0.8,True,False,6.0,varied,0.05,0.15,35.81955232995368,34.31534776269614,0.9580060478310427,-4.199395216895729,0.010537843603557452,0.010687584353453305,1.0142098094761343,1.420980947613426,10.953141766601407,30.25066730678607,2.7618255977501507,176.18255977501508,0.9114336363636364,1.6548463636363635,1.8156520646294496,81.56520646294496
TaperRatio,2,6,0.2,0.8,True,False,6.0,varied,0.05,0.5,36.58710094563503,34.99488788896032,0.9564815736824684,-4.351842631753156,0.010566434068262815,0.010712620946390243,1.0138350248705486,1.3835024870548551,10.80771945298735,29.87650941757736,2.764367593694267,176.4367593694267,0.6969213636363636,1.661258181818182,2.383709652908539,138.3709652908539
TaperRatio,3,7,0.2,0.8,True,True,6.0,varied,0.4,0.15,91.34232308199292,67.2867896819147,0.7366441690071216,-26.33558309928784,0.012580989612239302,0.011905061419245216,0.9462738453947601,-5.372615460523988,9.769402147107584,26.94741692712225,2.758348619633858,175.83486196338578,0.3308731818181818,0.9057209090909091,2.737365730621867,173.7365730621867
TaperRatio,4,8,0.2,0.8,True,True,6.0,varied,0.4,0.5,105.38593585849608,80.61962555393077,0.7649941607216019,-23.500583927839813,0.013097431856977027,0.012397069079397381,0.9465267095696657,-5.347329043033433,9.3272810223876,25.884065670867656,2.775092292034517,177.5092292034517,0.3266712727272727,0.8922300000000001,2.7312778150066905,173.12778150066904
TaperRatio,9,13,0.2,0.8,False,False,12.0,varied,0.05,0.15,34.407663787008985,33.45032184195474,0.9721764909416576,-2.782350905834241,0.005399311787796914,0.005602894012336751,1.0377052173575079,3.770521735750787,79.82404880112628,246.23466447719449,3.0847178034111473,208.47178034111474,2.076046363636364,6.162013636363636,2.968148372934393,196.8148372934393
TaperRatio,10,14,0.2,0.8,False,False,12.0,varied,0.05,0.5,34.978493390406534,33.95729726258819,0.9708050282091789,-2.919497179082109,0.005407695751789858,0.005611556435273702,1.0376982531638117,3.76982531638117,79.51250922357943,245.24499367835745,3.0843573680810223,208.43573680810223,2.0864231818181818,6.177404545454546,2.960762993474478,196.07629934744782
TaperRatio,11,15,0.2,0.8,False,False,12.0,varied,0.4,0.15,73.90272167638801,59.537452819285576,0.805619217652005,-19.438078234799505,0.005981173409376953,0.006017925290249504,1.0061445937706694,0.6144593770669449,77.3272538872847,235.2773319490137,3.04261848341289,204.261848341289,1.2387813636363636,3.456077272727273,2.7899009253595635,178.99009253595634
