ChangedInput,Quantity,Pairs,MinChange_pct,MedianChange_pct,MaxChange_pct
AR,WingMassTotal_kg,8,-19.741466844592146,-7.956764610889206,-2.5208135051504987
AR,CDitrim,8,-53.12918490121028,-49.13632069121631,-47.57567447384516
AR,Ctrim_Nm,8,628.7776466522853,706.6824512773816,775.2585978170339
AR,ScreenUtilization,8,127.7781157955948,273.37965434568446,283.54404133463345
TaperRatio,WingMassTotal_kg,8,-26.33558309928784,-10.641005285123871,-2.782350905834241
TaperRatio,CDitrim,8,-5.372615460523988,1.0546716725749694,3.770521735750787
TaperRatio,Ctrim_Nm,8,175.83486196338578,190.67931448410587,208.47178034111474
TaperRatio,ScreenUtilization,8,81.56520646294496,176.34322660877655,196.8148372934393
RootRatio,WingMassTotal_kg,8,77.98768305006651,122.580539168934,188.0412307471139
RootRatio,CDitrim,8,7.407444741930047,12.456279831697703,23.953187729778016
RootRatio,Ctrim_Nm,8,-13.69797242646359,-9.214634982727521,-3.1278730549763267
RootRatio,ScreenUtilization,8,-63.69750153853519,-44.93580467456053,-40.32978331627732
TipRootRatio,WingMassTotal_kg,8,1.5156070038093938,8.296099786612732,19.814938318568153
TipRootRatio,CDitrim,8,0.1546062252449687,1.4539564863447318,4.132760368264932
TipRootRatio,Ctrim_Nm,8,-4.52556991781613,-2.4526415402247927,-0.3902828561390348
TipRootRatio,ScreenUtilization,8,-23.53569850495274,-0.9761244266482894,0.49983557032136083
