Campaign,FromCase,ToCase,Quantity,FromValue,ToValue,Change,Ratio,Change_pct
FCC,26,70,CellSize_m,0.01,0.015443574890096233,0.0054435748900962325,1.5443574890096232,54.435748900962324
FCC,26,70,RootRatio,0.4,0.093826622786741,-0.306173377213259,0.2345665569668525,-76.54334430331475
FCC,26,70,NominalRootDiameter_mm,4.0,1.4490184756918445,-2.5509815243081553,0.3622546189229611,-63.77453810770388
FCC,26,70,WingMassTotal_kg,83.14358410092515,39.973074817524164,-43.17050928340099,0.48077161033859467,-51.92283896614054
FCC,26,70,LatticeMassTwoWing_kg,50.79203194502513,7.621522661624144,-43.17050928340099,0.15005350976848722,-84.99464902315128
FCC,26,70,Ctrim_Nm,43.55329566091167,49.84906427017138,6.29576860925971,1.1445532080574572,14.45532080574572
FCC,26,70,ScreenSkinVM_MPa,198.1349,215.4348,17.299900000000008,1.0873137443226812,8.731374432268124
FCC,26,70,ScreenBeamNormal_MPa,132.5893,208.6087,76.01939999999999,1.573344907922434,57.3344907922434
FCC,61,70,CellSize_m,0.01022999196656391,0.015443574890096233,0.005213582923532323,1.5096370496255123,50.963704962551226
FCC,61,70,RootRatio,0.38190066809309264,0.093826622786741,-0.2880740453063516,0.24568331669917293,-75.4316683300827
FCC,61,70,NominalRootDiameter_mm,3.9068407666177274,1.4490184756918445,-2.4578222909258827,0.37089263736394984,-62.91073626360502
FCC,61,70,WingMassTotal_kg,80.91764982465605,39.973074817524164,-40.94457500713189,0.4939969821682111,-50.60030178317889
FCC,61,70,LatticeMassTwoWing_kg,48.56609766875602,7.621522661624144,-40.94457500713188,0.1569309256347209,-84.30690743652791
FCC,61,70,Ctrim_Nm,43.7806238640196,49.84906427017138,6.06844040615178,1.1386101857524928,13.861018575249284
FCC,61,70,ScreenSkinVM_MPa,198.0552,215.4348,17.379599999999982,1.0877512935787597,8.775129357875965
FCC,61,70,ScreenBeamNormal_MPa,131.3967,208.6087,77.21199999999999,1.5876251077842898,58.762510778428975
FCC,40,70,CellSize_m,0.022733787834644317,0.015443574890096233,-0.007290212944548085,0.6793225573505867,-32.06774426494133
FCC,40,70,RootRatio,0.10232856959104539,0.093826622786741,-0.008501946804304383,0.9169152189043365,-8.308478109566353
FCC,40,70,NominalRootDiameter_mm,2.3263159905054622,1.4490184756918445,-0.8772975148136177,0.6228811913797667,-37.71188086202333
FCC,40,70,WingMassTotal_kg,40.93792891554628,39.973074817524164,-0.9648540980221156,0.976431291870857,-2.3568708129143023
FCC,40,70,LatticeMassTwoWing_kg,8.586376759646255,7.621522661624144,-0.9648540980221112,0.8876296574177044,-11.237034258229562
FCC,40,70,Ctrim_Nm,49.74827060835925,49.84906427017138,0.10079366181213345,1.0020260736821511,0.20260736821511305
FCC,40,70,ScreenSkinVM_MPa,218.2662,215.4348,-2.831400000000002,0.9870277670111084,-1.2972232988891608
FCC,40,70,ScreenBeamNormal_MPa,216.9856,208.6087,-8.376900000000006,0.9613942123348277,-3.860578766517231
BCC,17,58,CellSize_m,0.01,0.021385774939881884,0.011385774939881884,2.1385774939881883,113.85774939881883
BCC,17,58,RootRatio,0.12232000783085824,0.3298705696337293,0.20755056180287107,2.6967834247514766,169.67834247514764
BCC,17,58,NominalRootDiameter_mm,1.2232000783085824,7.05453776147757,5.831337683168988,5.767280338333896,476.72803383338965
BCC,17,58,WingMassTotal_kg,41.884856517298466,66.85486053790196,24.97000402060349,1.5961582800287466,59.61582800287466
BCC,17,58,LatticeMassTwoWing_kg,9.533304361398445,34.50330838200193,24.97000402060349,3.6192391508772332,261.92391508772334
BCC,17,58,Ctrim_Nm,50.23086577071996,48.5071039699029,-1.7237618008170585,0.9656832154021551,-3.431678459784493
BCC,17,58,ScreenSkinVM_MPa,217.3177,212.8132,-4.504500000000007,0.9792722820092427,-2.0727717990757344
BCC,17,58,ScreenBeamNormal_MPa,170.1599,94.83742,-75.32248,0.5573429462523192,-44.26570537476808
SC,53,70,CellSize_m,0.019530778130431324,0.010393573031551811,-0.009137205098879513,0.5321637961447815,-46.78362038552185
SC,53,70,RootRatio,0.3046212460520837,0.38467406823037453,0.08005282217829085,1.2627946120494942,26.279461204949417
SC,53,70,NominalRootDiameter_mm,5.949489970458775,3.9981380214965423,-1.951351948962233,0.6720135744994354,-32.79864255005646
SC,53,70,WingMassTotal_kg,46.924365269563346,51.506454369279595,4.582089099716249,1.0976483980847438,9.76483980847438
SC,53,70,LatticeMassTwoWing_kg,14.572813113663324,19.154902213379568,4.582089099716244,1.3144272189574793,31.442721895747926
SC,53,70,Ctrim_Nm,49.376863154211314,46.368237802788364,-3.0086253514229497,0.9390681149179817,-6.0931885082018304
SC,53,70,ScreenSkinVM_MPa,208.8306,195.8853,-12.945300000000003,0.9380105214465696,-6.1989478553430395
SC,53,70,ScreenBeamNormal_MPa,167.0892,148.913,-18.176199999999994,0.8912185826492676,-10.878141735073243
Planform,45,20,Semispan_m,1.945990064408664,2.4249112196136275,0.4789211552049635,1.2461066805860055,24.61066805860055
Planform,45,20,RootChord_m,0.9875775053152256,0.7928078097581236,-0.194769695557102,0.802780344318461,-19.721965568153898
Planform,45,20,WingMassTotal_kg,44.76385365873275,41.94523668214673,-2.8186169765860214,0.9370336388356021,-6.296636116439791
Planform,45,20,SkinMassTwoWing_kg,32.74035691812757,32.39644585832714,-0.34391105980042624,0.9894958060273921,-1.0504193972607934
Planform,45,20,LatticeMassTwoWing_kg,12.02349674060518,9.548790823819584,-2.474705916785597,0.794177520053036,-20.582247994696402
Planform,45,20,CDitrim,0.009958791733476639,0.00644157565853256,-0.003517216074944079,0.6468230113578035,-35.31769886421965
Planform,45,20,Ctrim_Nm,13.023569374114015,47.103563783089434,34.07999440897542,3.6167937091588502,261.67937091588504
Planform,45,20,ScreenSkinVM_MPa,80.79339,192.3471,111.55371000000001,2.38072817590647,138.072817590647
Planform,45,20,ScreenBeamNormal_MPa,99.03386,177.9528,78.91893999999999,1.796888458149566,79.68884581495661
Planform,45,20,AreaCentroid_m,0.7605632383053491,0.9475088630462353,0.18694562474088616,1.2457989228580513,24.579892285805126
Planform,45,47,Semispan_m,1.945990064408664,2.195899604403371,0.2499095399947071,1.128422824229911,12.842282422991103
Planform,45,47,RootChord_m,0.9875775053152256,0.878463868890038,-0.10911363642518757,0.8895138499632396,-11.048615003676044
Planform,45,47,WingMassTotal_kg,44.76385365873275,43.15729973816364,-1.6065539205691124,0.9641104643756314,-3.5889535624368585
Planform,45,47,SkinMassTwoWing_kg,32.74035691812757,32.53661818634531,-0.2037387317822592,0.9937771377296912,-0.6222862270308771
Planform,45,47,LatticeMassTwoWing_kg,12.02349674060518,10.620681551818329,-1.4028151887868514,0.8833271868366437,-11.667281316335632
Planform,45,47,CDitrim,0.009958791733476639,0.007757728825140677,-0.0022010629083359613,0.7789829361591073,-22.10170638408927
Planform,45,47,Ctrim_Nm,13.023569374114015,25.456119356968323,12.432549982854308,1.9546192465151349,95.46192465151348
