Case,AR,TaperRatio,RootRatio,TipRootRatio,FullWingArea_m2,CellSize_m,SkinThickness_m,WingMassTotal_kg,CDitrim,Ctrim_Nm,ScreenSkinVM_MPa,ScreenBeamNormal_MPa,StressLimit_MPa,Feasible,Pareto,Origin,MeshControls,FlutterBasis
1,6.0,0.2,0.05,0.15,2.3224598712,0.0227337878346443,0.0025,35.81955232995368,0.010537843603557452,10.953141766601407,82.10474,200.5154,220.0,True,True,corner,baseline,accepted_campaign_strict_screen
2,6.0,0.2,0.05,0.5,2.3224598712,0.0227337878346443,0.0025,36.58710094563503,0.010566434068262815,10.80771945298735,82.69207,153.3227,220.0,True,True,corner,baseline,accepted_campaign_strict_screen
3,6.0,0.2,0.4,0.15,2.3224598712,0.0227337878346443,0.0025,91.34232308199292,0.012580989612239302,9.769402147107584,72.7921,35.7529,220.0,True,False,corner,baseline,accepted_campaign_strict_screen
4,6.0,0.2,0.4,0.5,2.3224598712,0.0227337878346443,0.0025,105.38593585849608,0.013097431856977027,9.3272810223876,71.86768,30.82933,220.0,True,True,corner,baseline,accepted_campaign_strict_screen
5,6.0,0.8,0.05,0.15,2.3224598712,0.0227337878346443,0.0025,34.31534776269614,0.010687584353453305,30.25066730678607,199.1739,364.0662,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
6,6.0,0.8,0.05,0.5,2.3224598712,0.0227337878346443,0.0025,34.99488788896032,0.010712620946390243,29.87650941757736,200.0283,365.4768,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
7,6.0,0.8,0.4,0.15,2.3224598712,0.0227337878346443,0.0025,67.2867896819147,0.011905061419245216,26.94741692712225,199.2586,82.09908,220.0,True,False,corner,baseline,accepted_campaign_strict_screen
8,6.0,0.8,0.4,0.5,2.3224598712,0.0227337878346443,0.0025,80.61962555393077,0.012397069079397381,25.884065670867656,196.2906,80.97618,220.0,True,False,corner,baseline,accepted_campaign_strict_screen
9,12.0,0.2,0.05,0.15,2.3224598712,0.0227337878346443,0.0025,34.407663787008985,0.005399311787796914,79.82404880112628,249.477,456.7302,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
10,12.0,0.2,0.05,0.5,2.3224598712,0.0227337878346443,0.0025,34.978493390406534,0.005407695751789858,79.51250922357943,249.8091,459.0131,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
11,12.0,0.2,0.4,0.15,2.3224598712,0.0227337878346443,0.0025,73.90272167638801,0.005981173409376953,77.3272538872847,272.5319,110.9707,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
12,12.0,0.2,0.4,0.5,2.3224598712,0.0227337878346443,0.0025,84.58120627212793,0.006138873068373683,74.56078913576043,269.8911,110.041,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
13,12.0,0.8,0.05,0.15,2.3224598712,0.0227337878346443,0.0025,33.45032184195474,0.005602894012336751,246.23466447719449,668.6045,1355.643,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
14,12.0,0.8,0.05,0.5,2.3224598712,0.0227337878346443,0.0025,33.95729726258819,0.005611556435273702,245.24499367835745,669.7816,1359.029,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
15,12.0,0.8,0.4,0.15,2.3224598712,0.0227337878346443,0.0025,59.537452819285576,0.006017925290249504,235.2773319490137,760.337,194.0865,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
16,12.0,0.8,0.4,0.5,2.3224598712,0.0227337878346443,0.0025,70.26146600585216,0.006183431517330535,226.55251024887647,752.8609,191.5655,220.0,False,False,corner,baseline,accepted_campaign_strict_screen
37,6.6867697591199855,0.2000609402952201,0.050016507764657894,0.1500014908700283,2.3224598712,0.0227337878346443,0.0025,35.62301011663232,0.009408487020013451,14.658171321975804,99.78529,193.8781,220.0,True,True,adaptive,baseline,accepted_campaign_strict_screen
64,7.4866938414473925,0.200010195282354,0.06067474807034154,0.1500250203032064,2.3224598712,0.0227337878346443,0.0025,36.435541864251284,0.008382788694924672,19.582807292172536,108.6436,172.2743,220.0,True,True,adaptive,baseline,accepted_campaign_strict_screen
99,10.872100508239818,0.20006706595792395,0.10420093658526437,0.2527922991074786,2.3224598712,0.0227337878346443,0.0025,40.54501051830333,0.006018267636853877,57.59844160185831,210.4243,174.6915,220.0,True,True,adaptive,refined,accepted_campaign_strict_screen
