Case,NormalizedSemispan,LiftPerUnitSpan_N_m
4,0,2607.77010258584
4,0.0025,2607.74532853338
4,0.005,2607.6710131742
4,0.0075,2607.54717689658
4,0.01,2607.37385366012
4,0.0125,2607.15109096445
4,0.015,2606.87894980552
4,0.0175,2606.55750461936
4,0.02,2606.18684321365
4,0.0225,2605.76706668688
4,0.025,2605.29828933542
4,0.0275,2604.78063854844
4,0.03,2604.21425469094
4,0.0325,2603.59929097492
4,0.035,2602.93591331886
4,0.0375,2602.22430019569
4,0.04,2601.46464246946
4,0.0425,2600.65714322072
4,0.045,2599.80201756112
4,0.0475,2598.89949243706
4,0.05,2597.94980642294
4,0.0525,2596.95320950409
4,0.055,2595.90996284956
4,0.0575,2594.82033857523
4,0.06,2593.68461949731
4,0.0625,2592.50309887666
4,0.065,2591.27608015404
4,0.0675,2590.00387667683
4,0.07,2588.68681141732
4,0.0725,2587.32521668298
4,0.075,2585.91943381903
4,0.0775,2584.46981290367
4,0.08,2582.97671243622
4,0.0825,2581.44049901869
4,0.085,2579.86154703094
4,0.0875,2578.24023829996
4,0.09,2576.57696176358
4,0.0925,2574.87211312897
4,0.095,2573.12609452636
4,0.0975,2571.33931415834
4,0.1,2569.51218594514
4,0.1025,2567.64512916635
4,0.105,2565.73856809936
4,0.1075,2563.79293165507
4,0.11,2561.80865301116
4,0.1125,2559.78616924345
4,0.115,2557.72592095563
4,0.1175,2555.62835190794
4,0.12,2553.49390864504
4,0.1225,2551.32304012368
4,0.125,2549.1161973404
4,0.1275,2546.8738329598
4,0.13,2544.59640094384
4,0.1325,2542.28435618239
4,0.135,2539.93815412564
4,0.1375,2537.55825041876
4,0.14,2535.14510053904
4,0.1425,2532.69915943617
4,0.145,2530.22088117588
4,0.1475,2527.71071858741
4,0.15,2525.16912291519
4,0.1525,2522.59654347511
4,0.155,2519.99342731578
4,0.1575,2517.36021888513
4,0.16,2514.69735970274
4,0.1625,2512.00528803826
4,0.165,2509.28443859622
4,0.1675,2506.5352422077
4,0.17,2503.75812552902
4,0.1725,2500.95351074799
4,0.175,2498.12181529776
4,0.1775,2495.26345157892
4,0.18,2492.37882668983
4,0.1825,2489.46834216563
4,0.185,2486.53239372623
4,0.1875,2483.57137103347
4,0.19,2480.58565745765
4,0.1925,2477.57562985384
4,0.195,2474.54165834805
4,0.1975,2471.48410613355
4,0.2,2468.40332927746
4,0.2025,2465.29967653795
4,0.205,2462.17348919203
4,0.2075,2459.02510087423
4,0.21,2455.85483742629
4,0.2125,2452.66301675793
4,0.215,2449.44994871891
4,0.2175,2446.2159349824
4,0.22,2442.96126893977
4,0.2225,2439.68623560693
4,0.225,2436.39111154215
4,0.2275,2433.07616477557
4,0.23,2429.74165475026
4,0.2325,2426.38783227491
4,0.235,2423.01493948821
4,0.2375,2419.62320983478
4,0.24,2416.21286805265
4,0.2425,2412.78413017232
4,0.245,2409.33720352719
4,0.2475,2405.87228677536
4,0.25,2402.38956993276
4,0.2525,2398.88923441726
4,0.255,2395.37145310397
4,0.2575,2391.83639039127
4,0.26,2388.28420227754
4,0.2625,2384.71503644851
4,0.265,2381.12903237482
4,0.2675,2377.52632141971
4,0.27,2373.90702695671
4,0.2725,2370.27126449682
4,0.275,2366.61914182526
4,0.2775,2362.95075914722
4,0.28,2359.2662092426
4,0.2825,2355.56557762924
4,0.285,2351.84894273441
4,0.2875,2348.11637607436
4,0.29,2344.36794244137
4,0.2925,2340.60370009819
4,0.295,2336.82370097933
4,0.2975,2333.02799089903
4,0.3,2329.21660976532
4,0.3025,2325.3895918
4,0.305,2321.54696576404
4,0.3075,2317.68875518793
4,0.31,2313.81497860683
4,0.3125,2309.92564979976
4,0.315,2306.0207780327
4,0.3175,2302.10036830502
4,0.32,2298.16442159887
4,0.3225,2294.21293513103
4,0.325,2290.24590260683
4,0.3275,2286.26331447571
4,0.33,2282.2651581879
4,0.3325,2278.25141845184
4,0.335,2274.2220774918
4,0.3375,2270.17711530539
4,0.34,2266.11650992028
4,0.3425,2262.04023764997
4,0.345,2257.94827334784
4,0.3475,2253.84059065928
4,0.35,2249.71716227131
4,0.3525,2245.57796015929
4,0.355,2241.4229558303
4,0.3575,2237.25212056264
4,0.36,2233.0654256412
4,0.3625,2228.86284258813
4,0.365,2224.64434338842
4,0.3675,2220.40990070999
4,0.37,2216.15948811796
4,0.3725,2211.8930802825
4,0.375,2207.61065318019
4,0.3775,2203.31218428813
4,0.38,2198.99765277086
4,0.3825,2194.66703965934
4,0.385,2190.32032802195
4,0.3875,2185.95750312703
4,0.39,2181.57855259673
4,0.3925,2177.18346655178
4,0.395,2172.77223774702
4,0.3975,2168.34486169735
4,0.4,2163.90133679386
4,0.4025,2159.44166440992
4,0.405,2154.96584899705
4,0.4075,2150.47389817034
4,0.41,2145.96582278323
4,0.4125,2141.44163699159
4,0.415,2136.90135830682
4,0.4175,2132.345007638
4,0.42,2127.77260932292
4,0.4225,2123.18419114791
4,0.425,2118.57978435653
4,0.4275,2113.95942364688
4,0.43,2109.3231471578
4,0.4325,2104.67099644375
4,0.435,2100.00301643853
4,0.4375,2095.31925540788
4,0.44,2090.61976489103
4,0.4425,2085.90459963131
4,0.445,2081.17381749609
4,0.4475,2076.42747938588
4,0.45,2071.66564913322
4,0.4525,2066.88839339117
4,0.455,2062.09578151185
4,0.4575,2057.28788541523
4,0.46,2052.46477944849
4,0.4625,2047.6265402361
4,0.465,2042.77324652113
4,0.4675,2037.90497899806
4,0.47,2033.02182013741
4,0.4725,2028.12385400265
4,0.475,2023.21116605974
4,0.4775,2018.28384297983
4,0.48,2013.34197243545
4,0.4825,2008.38564289072
4,0.485,2003.41494338609
4,0.4875,1998.42996331806
4,0.49,1993.43079221452
4,0.4925,1988.41751950602
4,0.495,1983.39023429384
4,0.4975,1978.34902511517
4,0.5,1973.29397970609
4,0.5025,1968.22518476297
4,0.505,1963.14272570285
4,0.5075,1958.04668642344
4,0.51,1952.93714906338
4,0.5125,1947.81419376332
4,0.515,1942.67789842862
4,0.5175,1937.52833849411
4,0.52,1932.36558669176
4,0.5225,1927.18971282175
4,0.525,1922.00078352773
4,0.5275,1916.79886207676
4,0.53,1911.5840081448
4,0.5325,1906.35627760812
4,0.535,1901.11572234156
4,0.5375,1895.86239002402
4,0.54,1890.59632395197
4,0.5425,1885.31756286149
4,0.545,1880.02614075951
4,0.5475,1874.72208676479
4,0.55,1869.40542495914
4,0.5525,1864.07617424966
4,0.555,1858.73434824218
4,0.5575,1853.37995512673
4,0.56,1848.01299757528
4,0.5625,1842.63347265234
4,0.565,1837.24137173882
4,0.5675,1831.83668046946
4,0.57,1826.41937868432
4,0.5725,1820.98944039451
4,0.575,1815.5468337626
4,0.5775,1810.09152109785
4,0.58,1804.62345886649
4,0.5825,1799.14259771725
4,0.585,1793.64888252229
4,0.5875,1788.14225243346
4,0.59,1782.62264095413
4,0.5925,1777.08997602642
4,0.595,1771.54418013376
4,0.5975,1765.98517041882
4,0.6,1760.41285881638
4,0.6025,1754.82715220115
4,0.605,1749.22795255004
4,0.6075,1743.61515711875
4,0.61,1737.98865863204
4,0.6125,1732.34834548741
4,0.615,1726.69410197152
4,0.6175,1721.02580848885
4,0.62,1715.34334180186
4,0.6225,1709.64657528206
4,0.625,1703.93537917101
4,0.6275,1698.20962085062
4,0.63,1692.46916512165
4,0.6325,1686.71387448952
4,0.635,1680.94360945645
4,0.6375,1675.15822881866
4,0.64,1669.35758996759
4,0.6425,1663.54154919385
4,0.645,1657.70996199264
4,0.6475,1651.86268336925
4,0.65,1645.99956814322
4,0.6525,1640.12047124973
4,0.655,1634.22524803663
4,0.6575,1628.3137545556
4,0.66,1622.38584784571
4,0.6625,1616.44138620783
4,0.665,1610.480229468
4,0.6675,1604.5022392281
4,0.67,1598.50727910201
4,0.6725,1592.49521493534
4,0.675,1586.46591500695
4,0.6775,1580.41925021021
4,0.68,1574.3550942123
4,0.6825,1568.27332358934
4,0.685,1562.17381793559
4,0.6875,1556.05645994472
4,0.69,1549.92113546111
4,0.6925,1543.7677334993
4,0.695,1537.59614622959
4,0.6975,1531.40626892792
4,0.7,1525.19799988813
4,0.7025,1518.97124029458
4,0.705,1512.7258940536
4,0.7075,1506.46186758165
4,0.71,1500.17906954877
4,0.7125,1493.8774105754
4,0.715,1487.55680288126
4,0.7175,1481.21715988451
4,0.72,1474.85839575003
4,0.7225,1468.48042488532
4,0.725,1462.08316138297
4,0.7275,1455.66651840849
4,0.73,1449.23040753273
4,0.7325,1442.77473800782
4,0.735,1436.29941598627
4,0.7375,1429.80434368246
4,0.74,1423.28941847638
4,0.7425,1416.75453195928
4,0.745,1410.19956892145
4,0.7475,1403.62440628216
4,0.75,1397.02891196221
4,0.7525,1390.41294369988
4,0.755,1383.7763478108
4,0.7575,1377.1189578931
4,0.76,1370.44059347889
4,0.7625,1363.7410586337
4,0.765,1357.02014050551
4,0.7675,1350.27760782549
4,0.77,1343.51320936239
4,0.7725,1336.72667233323
4,0.775,1329.91770077282
4,0.7775,1323.08597386493
4,0.78,1316.23114423827
4,0.7825,1309.35283623041
4,0.785,1302.45064412316
4,0.7875,1295.52413035292
4,0.79,1288.57282369976
4,0.7925,1281.59621745897
4,0.795,1274.59376759907
4,0.7975,1267.56489091005
4,0.8,1260.50896314582
4,0.8025,1253.42531716463
4,0.805,1246.31324107121
4,0.8075,1239.17197636392
4,0.81,1232.00071609031
4,0.8125,1224.79860301368
4,0.815,1217.56472779308
4,0.8175,1210.29812717833
4,0.82,1202.99778222112
4,0.8225,1195.66261650209
4,0.825,1188.29149437304
4,0.8275,1180.88321921181
4,0.83,1173.43653168612
4,0.8325,1165.95010802093
4,0.835,1158.42255826157
4,0.8375,1150.85242452302
4,0.84,1143.23817921256
4,0.8425,1135.57822321038
4,0.845,1127.87088398865
4,0.8475,1120.11441364614
4,0.85,1112.30698683024
4,0.8525,1104.44669851339
4,0.855,1096.53156158461
4,0.8575,1088.55950421024
4,0.86,1080.52836690969
4,0.8625,1072.43589928387
4,0.865,1064.27975632284
4,0.8675,1056.05749420861
4,0.87,1047.76656551507
4,0.8725,1039.40431369243
4,0.875,1030.96796670624
4,0.8775,1022.45462968114
4,0.88,1013.86127637735
4,0.8825,1005.18473930178
4,0.885,996.421698225819
4,0.8875,987.568666847779
4,0.89,978.621977298303
4,0.8925,969.577762141052
4,0.895,960.43193346788
4,0.8975,951.180158625545
4,0.9,941.817832038503
4,0.9025,932.340042507206
4,0.905,922.741535261108
4,0.9075,913.016667927055
4,0.91,903.159359432964
4,0.9125,893.163030698646
4,0.915,883.020535764124
4,0.9175,872.724081762729
4,0.92,862.265135851492
4,0.9225,851.634316851633
4,0.925,840.82126891017
4,0.9275,829.814513947343
4,0.93,818.601278973897
4,0.9325,807.167293507809
4,0.935,795.496551238128
4,0.9375,783.571028701791
4,0.94,771.370351957257
4,0.9425,758.871399917382
4,0.945,746.047829946399
4,0.9475,732.869507250987
4,0.95,719.301814095169
4,0.9525,705.304807341008
4,0.955,690.832182358648
4,0.9575,675.829986577927
4,0.96,660.235004711123
4,0.9625,643.972706511979
4,0.965,626.954601191965
4,0.9675,609.074770744119
4,0.97,590.205240795022
4,0.9725,570.189662165835
